sample_id,age,age2,sex,eth1,eth2,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,feature_1,feature_2,y
s0,1.16419,1.35533,1,0,1,-0.585052,-1.59587,-0.885825,0.749747,0.872567,-0.35554,0.0850718,0.183001,-0.17889,-1.16648,-0.111829,0.902208,0
s1,0.443788,0.196948,1,1,0,0.490097,-0.404266,-0.639139,-0.945375,0.115801,0.341921,-0.379689,-1.03297,-0.664034,-0.637787,-0.323088,-0.0210346,0
s2,0.0142169,0.00020212,0,1,0,1.59219,-1.035,-0.528458,0.29436,-1.04945,0.385882,0.725166,0.403792,-0.504734,1.10592,-1.74999,-1.35318,1
s3,1.95324,3.81515,1,0,0,-1.9944,-0.496121,-1.00815,0.669485,0.386893,0.307443,-0.0518072,0.208509,-2.66454,0.334162,1.35206,1.87509,0
s4,-0.587525,0.345186,1,0,1,-1.09121,-0.790955,0.945224,0.631886,0.591277,-0.439309,0.926649,-2.21912,-0.341895,-0.555612,0.027469,-1.5489,1
s5,-1.08233,1.17144,1,0,1,-1.27124,1.04158,0.521265,-1.43862,-0.779463,-0.79871,-1.44482,-0.158544,2.10218,0.36111,0.102116,-2.50192,1
s6,0.19091,0.0364466,0,0,0,0.0195589,0.952116,0.933218,1.78722,-0.0600889,0.0297592,0.238888,-1.55207,0.713254,1.70308,-0.521991,1.57748,0
s7,1.2325,1.51905,0,0,0,0.596115,1.67876,0.0312116,-1.50127,1.48515,-1.23114,-1.69911,-2.78391,1.43585,1.20646,-0.48234,0.319705,0
s8,-0.335321,0.11244,0,0,0,0.0789646,-0.151465,0.530398,-1.39377,-1.22685,-0.775579,-0.657354,-0.235967,0.781508,-1.66115,-1.52958,0.130834,1
s9,-0.080133,0.0064213,1,0,1,-0.515171,-0.434957,-2.06414,0.457299,1.77352,0.324255,0.682022,1.64003,1.07136,2.21534,-0.450056,-0.847661,0
s10,-0.846373,0.716347,0,0,0,1.11863,-0.0837682,0.607952,0.441626,-0.0479402,0.184652,-1.15062,0.368782,-0.734523,0.129687,1.48473,0.235964,1
s11,-0.37065,0.137382,0,0,1,-0.764692,-1.56074,-0.963977,0.919676,0.0376842,0.973752,-0.744974,1.1761,0.159928,-0.0696313,1.82584,-0.162467,1
s12,0.374386,0.140165,1,0,1,-0.10983,-1.19451,-0.164095,-0.104979,1.52186,0.78573,0.0192752,-0.578133,1.05624,0.761871,0.0026996,-1.29961,0
s13,0.238513,0.0568884,0,0,0,0.00529168,1.95903,-1.32624,-1.20625,0.316643,-0.687537,0.952614,-0.173814,-0.215337,0.468348,-1.71147,0.704052,0
s14,0.268317,0.071994,1,1,0,0.941617,0.328421,-1.15578,-0.762515,0.515945,-0.822297,0.231389,0.205591,0.898317,0.670477,-0.823472,-0.501319,1
s15,-1.88865,3.567,1,0,0,0.139385,1.75353,-1.25256,-0.702075,1.03634,0.72168,-0.452207,1.28444,-0.618752,2.01146,-0.316814,0.4287,0
s16,-1.16264,1.35174,0,0,1,-0.941554,-0.634655,-0.204188,0.733802,0.782853,-0.37032,-0.286561,-0.907376,0.292968,-0.885889,-0.736379,-1.31635,0
s17,0.527019,0.277749,1,1,0,0.647205,1.09988,0.550674,0.0587488,-1.86708,0.946228,0.609955,0.0511867,-1.09297,0.112793,1.1153,-0.439079,0
s18,-0.356773,0.127287,1,0,1,0.682141,-0.66457,-0.892625,-1.50257,-0.89349,1.97337,0.445988,-0.322879,1.71693,0.107187,0.765112,0.705771,1
s19,0.99484,0.989707,0,0,1,-0.510491,-0.256652,0.276503,0.331502,-0.445215,1.7209,0.651817,0.841655,0.0839718,-0.731387,-0.0732352,-1.49353,0
s20,0.262744,0.0690342,0,0,0,-0.158949,1.57667,0.0609825,0.0271474,0.647106,0.999263,0.0469537,-0.656868,-2.7238,0.704633,1.10121,-1.1268,1
s21,1.44455,2.08671,1,0,1,1.95618,0.596628,-0.783383,-1.36891,-1.03201,1.15266,0.408037,0.108336,0.902801,0.795484,0.232011,0.155625,0
s22,0.827962,0.685521,0,1,0,-0.912605,-2.36383,-0.499359,0.432701,-0.23793,-0.27949,-0.727138,-0.443593,-2.05842,-0.243754,-1.16504,-0.399564,0
s23,0.991213,0.982503,1,0,1,-0.680825,0.681322,0.155149,0.419087,0.972276,-0.614186,0.968744,0.635204,0.335041,-0.572402,-1.21937,-0.373322,1
s24,0.611806,0.374307,1,1,0,1.69935,0.88516,-0.180454,0.686254,0.513239,-0.998263,-0.802692,2.4048,0.0522497,1.63823,0.541413,-2.04915,0
s25,1.18003,1.39248,0,0,1,-0.350686,0.264026,0.17448,1.1866,-0.0684137,-0.861904,0.0478123,0.653681,-0.444884,-0.14196,0.820486,-0.983215,0
s26,0.643647,0.414281,1,0,1,1.93426,-0.458186,0.711185,1.03451,0.284951,-1.90219,-0.723658,0.394765,-0.454068,0.335442,-0.142549,0.969464,0
s27,1.04509,1.09222,0,0,1,-0.138986,-0.766843,-0.848525,0.54074,-1.8716,0.545391,-0.155052,-0.203317,-0.39176,-1.11361,1.29629,-1.00133,0
s28,1.10194,1.21427,1,0,1,-2.53731,-1.44697,-1.00281,-0.983446,0.162608,0.698362,-0.28133,1.14883,-0.291355,-0.324492,-0.326554,-1.36879,0
s29,0.0638243,0.00407354,1,0,1,-0.446608,-0.221722,0.711639,0.446319,0.345891,-0.804411,-0.0237626,0.900929,0.183018,0.0529402,-1.26187,1.38223,0
s30,0.0792735,0.00628429,0,0,0,0.330147,-0.416399,-1.62261,0.364533,0.628854,-2.77553,-0.384826,-0.335984,-0.388297,-0.487382,0.345254,-1.1112,1
s31,0.529858,0.280749,0,1,0,0.336127,-0.91888,-0.902764,-0.766694,-0.216913,1.56969,-1.27953,-0.527856,-0.977767,0.309588,0.282278,-0.492937,0
s32,-1.92789,3.71676,1,1,0,-0.105785,-1.2649,0.833055,0.15917,0.86014,1.76072,0.488405,1.33643,-1.57138,-0.890024,1.1328,1.44321,1
