sample_id,age,age2,sex,eth1,eth2,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,feature_1,feature_2,y
s0,-0.229443,0.0526439,0,0,0,-1.00171,-0.795807,0.158013,1.00535,-0.301116,-0.793863,-0.238108,-0.00983164,2.04955,-0.595421,1.45157,0.777998,0
s1,0.637995,0.407037,0,0,0,-0.596435,-0.531581,0.0707563,-0.273112,0.367154,-0.661064,0.0800433,-1.53181,-1.42155,-0.0801397,-1.64573,-1.60555,1
s2,-0.633396,0.40119,1,0,0,0.818865,1.24875,-0.0875296,-0.103089,-0.533113,1.17344,1.12482,1.06717,0.588783,0.52741,-1.08024,-0.846383,0
s3,0.43304,0.187523,1,1,0,-1.38813,-1.131,-0.308527,0.00991089,0.577677,-0.895237,-1.63648,-0.710426,0.593474,-0.828294,1.0655,-1.63097,0
s4,0.513382,0.263561,1,1,0,-0.455873,-1.17502,1.60154,0.625788,-1.14417,-0.326588,-0.525642,0.208885,2.04055,0.667787,-0.637865,0.0643604,0
s5,1.60214,2.56684,0,1,0,0.355937,1.43032,0.732768,1.58195,1.66388,-0.57137,1.09195,0.333807,0.344032,0.621336,-1.75258,-0.0146326,0
s6,-2.00545,4.02182,0,1,0,-0.429154,-0.691832,-0.956732,-1.06415,0.0732062,1.78962,-0.506232,-0.348165,-0.31597,0.120312,0.759772,-0.0434326,1
s7,-0.817047,0.667566,0,1,0,0.48263,0.342858,0.083548,2.82324,0.530687,-1.02834,0.557845,0.164818,-0.252221,-1.06138,0.297971,-1.88667,0
s8,0.860014,0.739624,1,0,0,-0.720409,2.46405,1.68608,-0.511412,-1.62012,0.348479,0.765859,0.14368,-1.67047,-1.03048,-1.4869,0.056792,1
s9,-0.823712,0.678502,1,1,0,-0.506468,0.313772,0.589979,1.36221,-0.313428,-0.844923,-1.62676,0.557746,-1.2919,1.10666,0.837396,-0.261363,0
s10,0.831404,0.691233,1,0,0,0.0793166,0.57122,-1.25696,-0.0811922,0.295738,0.445043,0.823777,-1.16151,-0.216953,0.0435037,0.490762,0.0072014,1
