sample_id,age,age2,sex,eth1,eth2,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,feature_1,feature_2,y
s0,-0.186129,0.0346441,1,0,1,-0.611747,-0.193273,0.158121,-2.20058,-1.40734,0.643735,-1.1576,0.565436,-0.644014,-0.925759,-1.55935,-0.443807,0
s1,0.447223,0.200008,0,0,0,-0.440189,-0.0524602,1.06174,-1.22037,0.3838,-0.714566,1.49154,-0.385231,1.79841,-1.26615,0.857262,0.996713,0
s2,-1.89641,3.59638,1,1,0,-0.743949,1.21808,0.309593,-0.907946,-2.28397,-0.4509,-0.659176,0.215562,1.26516,0.759272,-1.07768,0.229119,0
s3,0.89657,0.803838,1,0,1,-1.1466,-0.44841,2.08606,-1.26597,-0.617451,-0.792971,2.80897,-1.04429,0.40586,0.444843,-0.184961,-1.37439,0
s4,0.196025,0.0384256,0,0,0,-0.303297,0.97726,-1.31517,-1.58116,0.638904,-0.5465,-0.496225,1.35254,0.754552,0.0521274,-1.25492,0.653669,0
s5,0.0110107,0.000121236,0,1,0,-0.63817,-0.656159,-0.537286,0.449792,-0.345553,-1.18211,-0.936457,-0.310794,-0.830751,1.32295,0.0205658,-0.181017,0
s6,-1.8004,3.24143,1,0,0,0.976562,-0.0540013,0.0669824,-0.689042,1.47163,-0.631044,0.208128,-0.785483,0.470984,-0.103234,0.452215,0.367592,0
s7,-0.677104,0.45847,0,0,0,0.225579,2.20552,-1.50652,1.04958,1.38522,2.06401,1.69861,0.389792,1.97058,-0.73441,-1.20006,0.49401,0
s8,0.584994,0.342218,1,1,0,-1.72163,-0.294805,0.258186,-0.222845,-0.486808,-0.560457,-0.332188,-1.74062,-1.19679,-2.22968,1.05233,-0.80677,0
s9,1.14064,1.30106,1,0,0,-1.09105,0.539415,0.387792,-0.861526,-0.202432,2.08716,-1.60396,-1.43756,-0.385973,-1.85731,-0.290642,-1.59496,0
s10,-0.27434,0.0752622,1,0,0,-0.432413,-0.243921,0.859937,-1.7995,1.84374,-0.061119,0.25705,0.0640251,-0.581281,0.487547,-1.44311,0.823724,0
s11,-0.694773,0.482709,1,0,1,0.64612,-0.172821,-0.971881,-0.109825,0.660772,-1.05007,-1.21252,0.399979,0.658038,0.0897365,1.49891,1.11703,0
s12,1.5667,2.45456,0,0,0,-0.984613,0.184665,-0.757114,-0.533225,0.82963,1.83189,1.11014,0.434625,-1.5584,0.171036,-1.33618,1.49605,1
s13,0.740318,0.54807,0,0,0,0.321386,0.90314,-1.37101,0.579522,-0.0953675,-0.096155,0.676173,-0.842847,-0.870003,-0.556876,1.94322,-0.644665,0
s14,0.143413,0.0205672,1,0,1,1.6281,1.16293,1.13904,-0.66656,0.583051,1.61503,1.10403,-0.732207,0.675013,-0.472364,-2.27676,-0.729423,0
s15,-0.830298,0.689394,0,1,0,0.484453,1.9231,0.869952,-0.634814,-1.45291,0.891766,-0.0694636,-0.849708,-0.593052,1.28194,-1.21143,-0.364625,1
s16,-0.424586,0.180273,1,0,0,0.0284769,-2.02785,-2.756,-0.442827,-1.92783,0.0286022,0.837831,0.537113,-0.673008,0.203001,-0.231169,0.382117,0
s17,1.06735,1.13925,0,0,1,0.173987,-0.124106,-1.41765,-0.56855,-0.0555451,-0.43752,-0.222597,0.399881,0.584661,-1.19625,0.190967,-1.559,0
