variant_id	variant_class	sv_log_length	repeat_overlap	allele_frequency	is_copy_number
v0	snv	-0.73284	0	0.01402	0
v1	snv	-0.73284	0	0.02159	0
v2	snv	-0.73284	0	0.02347	0
v3	duplication_long	0.34307	0	0.01	1
v4	snv	-0.73284	0	0.15794	0
v5	snv	-0.73284	0	0.01	0
v6	deletion_long	1.41788	0	0.01	1
v7	snv	-0.73284	0	0.04044	0
v8	snv	-0.73284	1	0.07168	0
v9	inversion_bnd_complex	1.86385	1	0.01	0
v10	duplication_long	1.36942	0	0.01	1
v11	snv	-0.73284	0	0.03676	0
v12	snv	-0.73284	0	0.01	0
v13	snv	-0.73284	0	0.01	0
v14	snv	-0.73284	0	0.03879	0
v15	snv	-0.73284	0	0.01918	0
v16	duplication_short	1.80738	0	0.01014	1
v17	snv	-0.73284	0	0.01	0
v18	snv	-0.73284	0	0.20614	0
v19	snv	-0.73284	0	0.08035	0
v20	snv	-0.73284	1	0.01039	0
v21	inversion_bnd_complex	1.49868	0	0.01	0
v22	duplication_long	1.28203	0	0.01	1
v23	snv	-0.73284	0	0.08631	0
v24	small_indel	-0.06865	1	0.01	0
v25	snv	-0.73284	0	0.01	0
v26	snv	-0.73284	0	0.01	0
v27	snv	-0.73284	0	0.025	0
v28	small_indel	0.10616	0	0.2648	0
v29	snv	-0.73284	0	0.01	0
v30	duplication_long	2.18512	0	0.01	1
v31	str_vntr_repeat	1.91372	1	0.01	0
v32	snv	-0.73284	0	0.01	0
v33	snv	-0.73284	0	0.10976	0
v34	duplication_long	2.25847	0	0.01	1
v35	snv	-0.73284	0	0.01	0
v36	deletion_short	2.24848	0	0.01	1
v37	insertion_mei	1.73068	0	0.01	0
v38	str_vntr_repeat	2.17237	1	0.01105	0
v39	snv	-0.73284	0	0.09036	0
v40	snv	-0.73284	0	0.05571	0
v41	deletion_long	2.26136	1	0.01	1
v42	snv	-0.73284	0	0.0166	0
v43	snv	-0.73284	0	0.14046	0
v44	snv	-0.73284	0	0.01	0
v45	deletion_long	0.43784	0	0.03856	1
v46	duplication_short	1.07999	0	0.01	1
v47	other_complex_sv	0.51458	0	0.01	0
v48	snv	-0.73284	0	0.02171	0
v49	small_indel	-0.24569	0	0.01	0
v50	duplication_long	1.32493	0	0.01	1
v51	snv	-0.73284	0	0.02671	0
v52	str_vntr_repeat	1.70744	1	0.01	0
v53	small_indel	0.00595	0	0.01	0
v54	snv	-0.73284	0	0.11173	0
v55	small_indel	0.04899	1	0.01	0
v56	snv	-0.73284	0	0.01488	0
v57	snv	-0.73284	0	0.01	0
v58	duplication_short	1.62246	0	0.01	1
v59	inversion_bnd_complex	0.29533	0	0.01	0
v60	snv	-0.73284	0	0.01	0
v61	snv	-0.73284	0	0.01	0
v62	duplication_short	0.52811	0	0.01	1
v63	snv	-0.73284	0	0.01	0
v64	snv	-0.73284	0	0.01	0
v65	insertion_mei	1.18603	0	0.01	0
v66	snv	-0.73284	0	0.22863	0
v67	snv	-0.73284	0	0.06265	0
v68	other_complex_sv	0.74285	0	0.03756	0
v69	snv	-0.73284	0	0.01	0
v70	snv	-0.73284	0	0.1747	0
v71	deletion_long	0.91116	0	0.01	1
v72	snv	-0.73284	0	0.01	0
v73	snv	-0.73284	0	0.01	0
v74	snv	-0.73284	1	0.01	0
v75	snv	-0.73284	0	0.01	0
v76	snv	-0.73284	0	0.16865	0
v77	snv	-0.73284	0	0.01	0
v78	snv	-0.73284	0	0.01	0
v79	small_indel	0.04899	0	0.01	0
v80	insertion_mei	1.61038	0	0.01197	0
v81	deletion_short	1.9345	0	0.01	1
v82	snv	-0.73284	0	0.16933	0
v83	snv	-0.73284	0	0.04643	0
v84	snv	-0.73284	0	0.01	0
v85	snv	-0.73284	0	0.01	0
v86	duplication_short	1.47738	0	0.01	1
v87	snv	-0.73284	0	0.16369	0
v88	snv	-0.73284	0	0.07074	0
v89	snv	-0.73284	0	0.02819	0
v90	str_vntr_repeat	2.00018	1	0.01	0
v91	snv	-0.73284	0	0.01	0
v92	str_vntr_repeat	0.67816	1	0.01	0
v93	deletion_long	1.39666	0	0.01	1
v94	snv	-0.73284	0	0.01	0
v95	snv	-0.73284	0	0.01	0
v96	snv	-0.73284	0	0.02387	0
v97	snv	-0.73284	1	0.01	0
v98	snv	-0.73284	0	0.07725	0
v99	other_complex_sv	2.1156	0	0.01	0
v100	snv	-0.73284	0	0.07326	0
v101	duplication_short	1.75844	1	0.11938	1
v102	snv	-0.73284	0	0.03752	0
v103	snv	-0.73284	0	0.01	0
v104	snv	-0.73284	0	0.02244	0
v105	snv	-0.73284	0	0.01	0
v106	deletion_short	2.0708	0	0.01	1
v107	snv	-0.73284	0	0.01	0
v108	small_indel	-0.33559	0	0.01	0
v109	deletion_short	1.95137	0	0.09806	1
v110	small_indel	-0.01048	1	0.02241	0
v111	snv	-0.73284	0	0.12716	0
v112	inversion_bnd_complex	2.06706	0	0.07827	0
v113	small_indel	-0.18191	1	0.05864	0
v114	snv	-0.73284	0	0.01	0
v115	snv	-0.73284	0	0.01	0
v116	snv	-0.73284	0	0.0419	0
v117	snv	-0.73284	0	0.06889	0
v118	snv	-0.73284	0	0.01	0
v119	snv	-0.73284	0	0.05877	0
v120	snv	-0.73284	0	0.04417	0
v121	snv	-0.73284	0	0.01	0
v122	small_indel	-0.10468	0	0.01	0
v123	insertion_mei	0.6404	0	0.01	0
v124	snv	-0.73284	0	0.01	0
v125	snv	-0.73284	0	0.01	0
v126	snv	-0.73284	0	0.01254	0
v127	deletion_long	1.79063	0	0.01	1
v128	snv	-0.73284	0	0.01	0
v129	deletion_long	2.07561	0	0.01	1
v130	snv	-0.73284	0	0.01	0
v131	snv	-0.73284	0	0.04576	0
v132	snv	-0.73284	0	0.1968	0
v133	insertion_mei	2.28764	0	0.01	0
v134	snv	-0.73284	0	0.01358	0
