variant_id	variant_class	sv_log_length	repeat_overlap	allele_frequency	is_copy_number
v0	snv	-0.61776	0	0.09919	0
v1	deletion_short	1.71736	0	0.01	1
v2	snv	-0.61776	0	0.02296	0
v3	snv	-0.61776	1	0.01	0
v4	insertion_mei	0.5813	0	0.01	0
v5	snv	-0.61776	0	0.03388	0
v6	snv	-0.61776	1	0.02738	0
v7	small_indel	0.21301	0	0.08721	0
v8	snv	-0.61776	0	0.01723	0
v9	snv	-0.61776	0	0.01	0
v10	small_indel	-0.06071	1	0.01	0
v11	deletion_short	2.23913	0	0.01	1
v12	snv	-0.61776	0	0.0274	0
v13	small_indel	0.26855	0	0.06243	0
v14	snv	-0.61776	0	0.01	0
v15	snv	-0.61776	0	0.01	0
v16	snv	-0.61776	0	0.16308	0
v17	snv	-0.61776	0	0.01617	0
v18	snv	-0.61776	0	0.01	0
v19	snv	-0.61776	0	0.09729	0
v20	snv	-0.61776	0	0.01437	0
v21	small_indel	-0.2284	0	0.01	0
v22	duplication_short	1.53686	0	0.01	1
v23	snv	-0.61776	0	0.01	0
v24	deletion_short	1.01235	0	0.01	1
v25	snv	-0.61776	0	0.03453	0
v26	snv	-0.61776	0	0.01179	0
v27	snv	-0.61776	0	0.01	0
v28	snv	-0.61776	0	0.01	0
v29	str_vntr_repeat	1.12006	1	0.01	0
v30	snv	-0.61776	0	0.17114	0
v31	snv	-0.61776	0	0.01	0
v32	str_vntr_repeat	2.30831	1	0.05037	0
v33	snv	-0.61776	0	0.24351	0
v34	snv	-0.61776	0	0.01	0
v35	snv	-0.61776	1	0.05203	0
v36	duplication_short	2.45259	0	0.01	1
v37	snv	-0.61776	0	0.01	0
v38	deletion_short	2.34796	0	0.01	1
v39	snv	-0.61776	0	0.25363	0
v40	inversion_bnd_complex	0.67419	0	0.01042	0
v41	duplication_short	1.8915	0	0.01	1
v42	snv	-0.61776	0	0.13032	0
v43	deletion_long	1.31863	0	0.01	1
v44	small_indel	0.26226	0	0.04433	0
v45	snv	-0.61776	0	0.14316	0
v46	snv	-0.61776	0	0.11135	0
v47	snv	-0.61776	0	0.01	0
v48	snv	-0.61776	0	0.01	0
v49	snv	-0.61776	0	0.0126	0
v50	snv	-0.61776	0	0.05466	0
v51	snv	-0.61776	0	0.01582	0
v52	other_complex_sv	1.09487	0	0.01514	0
v53	snv	-0.61776	0	0.0116	0
v54	snv	-0.61776	0	0.01	0
v55	snv	-0.61776	0	0.26992	0
v56	snv	-0.61776	0	0.04667	0
v57	snv	-0.61776	0	0.01	0
v58	small_indel	-0.45007	0	0.01	0
v59	deletion_long	1.24821	0	0.01	1
v60	snv	-0.61776	0	0.15679	0
v61	snv	-0.61776	0	0.01	0
v62	snv	-0.61776	0	0.01	0
v63	deletion_short	1.84137	0	0.01	1
v64	snv	-0.61776	0	0.19373	0
v65	snv	-0.61776	0	0.01	0
v66	snv	-0.61776	0	0.06494	0
v67	insertion_mei	1.72063	0	0.02837	0
v68	snv	-0.61776	0	0.21642	0
v69	snv	-0.61776	0	0.02503	0
v70	snv	-0.61776	0	0.01	0
v71	snv	-0.61776	0	0.01	0
v72	snv	-0.61776	0	0.01515	0
v73	snv	-0.61776	0	0.05286	0
v74	snv	-0.61776	0	0.01	0
v75	snv	-0.61776	0	0.01	0
v76	snv	-0.61776	0	0.01	0
v77	deletion_short	2.10195	0	0.01027	1
v78	snv	-0.61776	1	0.01	0
v79	snv	-0.61776	1	0.01	0
v80	snv	-0.61776	0	0.13919	0
v81	snv	-0.61776	0	0.01	0
v82	other_complex_sv	1.90728	0	0.01	0
v83	snv	-0.61776	0	0.01303	0
v84	snv	-0.61776	1	0.01	0
v85	snv	-0.61776	0	0.0428	0
v86	snv	-0.61776	0	0.01	0
v87	snv	-0.61776	0	0.01	0
v88	duplication_short	2.14989	0	0.03594	1
v89	duplication_short	1.02321	0	0.01	1
v90	snv	-0.61776	0	0.06702	0
v91	snv	-0.61776	0	0.01098	0
v92	snv	-0.61776	0	0.30182	0
v93	snv	-0.61776	0	0.01	0
v94	snv	-0.61776	0	0.01	0
v95	str_vntr_repeat	2.17828	1	0.01	0
v96	snv	-0.61776	0	0.01	0
v97	snv	-0.61776	0	0.01055	0
v98	snv	-0.61776	0	0.01	0
v99	deletion_long	1.96744	0	0.01885	1
