variant_id	variant_class	sv_log_length	repeat_overlap	allele_frequency	is_copy_number
v0	snv	-0.61663	0	0.04267	0
v1	snv	-0.61663	0	0.01	0
v2	snv	-0.61663	0	0.01	0
v3	snv	-0.61663	0	0.01	0
v4	snv	-0.61663	0	0.01	0
v5	snv	-0.61663	0	0.01311	0
v6	snv	-0.61663	0	0.03419	0
v7	snv	-0.61663	0	0.01	0
v8	duplication_long	2.1363	0	0.01176	1
v9	snv	-0.61663	0	0.09128	0
v10	snv	-0.61663	0	0.01	0
v11	duplication_long	1.32819	0	0.01	1
v12	snv	-0.61663	0	0.01241	0
v13	duplication_short	0.65947	0	0.03599	1
v14	snv	-0.61663	0	0.01	0
v15	str_vntr_repeat	1.77451	1	0.01	0
v16	small_indel	0.26711	1	0.09604	0
v17	duplication_long	0.82026	0	0.01	1
v18	snv	-0.61663	0	0.01799	0
v19	snv	-0.61663	0	0.01702	0
v20	insertion_mei	1.33729	0	0.01	0
v21	small_indel	0.10772	0	0.01	0
v22	small_indel	0.20934	1	0.05206	0
v23	str_vntr_repeat	1.02851	1	0.01	0
v24	snv	-0.61663	0	0.01	0
v25	snv	-0.61663	0	0.01322	0
v26	small_indel	-0.44292	0	0.01	0
v27	duplication_short	0.60204	1	0.01	1
v28	snv	-0.61663	0	0.14298	0
v29	duplication_short	1.45004	0	0.01	1
v30	snv	-0.61663	0	0.05319	0
v31	snv	-0.61663	0	0.10638	0
v32	snv	-0.61663	0	0.01405	0
v33	snv	-0.61663	0	0.01763	0
v34	snv	-0.61663	0	0.02051	0
v35	small_indel	0.04474	0	0.01	0
v36	small_indel	0.33735	0	0.06603	0
v37	snv	-0.61663	0	0.02639	0
v38	snv	-0.61663	0	0.04918	0
v39	snv	-0.61663	0	0.01684	0
v40	deletion_long	0.94771	0	0.01	1
v41	snv	-0.61663	0	0.07361	0
v42	insertion_mei	1.61075	0	0.01445	0
v43	snv	-0.61663	0	0.02199	0
v44	deletion_short	2.17267	0	0.03342	1
v45	snv	-0.61663	0	0.01	0
v46	snv	-0.61663	0	0.01098	0
v47	duplication_long	0.96642	0	0.01	1
v48	snv	-0.61663	0	0.13908	0
v49	snv	-0.61663	0	0.03332	0
v50	deletion_short	1.74044	0	0.02907	1
v51	snv	-0.61663	0	0.02317	0
v52	snv	-0.61663	0	0.01362	0
v53	snv	-0.61663	0	0.01	0
v54	snv	-0.61663	0	0.01	0
v55	snv	-0.61663	0	0.01268	0
v56	snv	-0.61663	0	0.01	0
v57	snv	-0.61663	0	0.01	0
v58	snv	-0.61663	0	0.01	0
v59	snv	-0.61663	0	0.01603	0
v60	deletion_long	2.46202	1	0.01	1
v61	snv	-0.61663	0	0.0104	0
v62	deletion_long	1.86849	0	0.01	1
v63	snv	-0.61663	0	0.03226	0
v64	snv	-0.61663	0	0.10336	0
v65	small_indel	-0.21329	0	0.022	0
v66	snv	-0.61663	0	0.01	0
v67	snv	-0.61663	0	0.08908	0
v68	snv	-0.61663	0	0.01	0
v69	snv	-0.61663	0	0.01235	0
v70	small_indel	0.00611	0	0.01	0
v71	inversion_bnd_complex	1.43434	0	0.01	0
v72	snv	-0.61663	0	0.01079	0
v73	snv	-0.61663	0	0.02268	0
v74	deletion_short	1.2925	0	0.01	1
v75	snv	-0.61663	0	0.01	0
v76	str_vntr_repeat	2.36676	1	0.01	0
v77	str_vntr_repeat	0.93283	1	0.01	0
v78	snv	-0.61663	0	0.16116	0
v79	snv	-0.61663	0	0.01	0
v80	snv	-0.61663	0	0.07675	0
v81	snv	-0.61663	0	0.02662	0
v82	snv	-0.61663	0	0.05225	0
v83	inversion_bnd_complex	2.74696	0	0.01	0
v84	snv	-0.61663	0	0.01	0
v85	snv	-0.61663	0	0.01	0
v86	snv	-0.61663	0	0.01727	0
v87	snv	-0.61663	0	0.01	0
v88	snv	-0.61663	1	0.11977	0
v89	snv	-0.61663	0	0.01177	0
v90	snv	-0.61663	0	0.01573	0
v91	snv	-0.61663	0	0.04676	0
v92	other_complex_sv	0.7998	0	0.01	0
v93	snv	-0.61663	0	0.01	0
v94	snv	-0.61663	0	0.01	0
v95	snv	-0.61663	0	0.01	0
v96	snv	-0.61663	0	0.10774	0
v97	snv	-0.61663	0	0.01	0
v98	snv	-0.61663	0	0.01	0
v99	inversion_bnd_complex	2.48224	0	0.01	0
v100	small_indel	0.0934	0	0.03614	0
v101	small_indel	0.14635	0	0.01	0
v102	snv	-0.61663	0	0.01	0
v103	insertion_mei	2.20767	0	0.01	0
v104	other_complex_sv	0.64587	0	0.01	0
v105	small_indel	0.12127	0	0.01	0
v106	small_indel	0.20934	0	0.01	0
v107	snv	-0.61663	0	0.0289	0
v108	insertion_mei	1.80826	0	0.01	0
v109	small_indel	0.19988	0	0.01	0
v110	snv	-0.61663	0	0.01	0
v111	small_indel	0.31402	0	0.0349	0
v112	inversion_bnd_complex	0.78663	0	0.01	0
v113	snv	-0.61663	0	0.01	0
v114	duplication_long	1.63373	0	0.01	1
v115	snv	-0.61663	1	0.01	0
v116	snv	-0.61663	0	0.01136	0
v117	inversion_bnd_complex	1.01891	0	0.09136	0
v118	small_indel	-0.44292	0	0.01	0
v119	snv	-0.61663	0	0.01737	0
v120	snv	-0.61663	0	0.01	0
v121	snv	-0.61663	1	0.01	0
v122	snv	-0.61663	0	0.01	0
v123	duplication_short	1.68014	0	0.01948	1
v124	snv	-0.61663	0	0.01506	0
v125	deletion_long	2.11739	0	0.09584	1
v126	small_indel	-0.34131	0	0.01057	0
v127	snv	-0.61663	0	0.01	0
v128	snv	-0.61663	0	0.061	0
v129	other_complex_sv	0.91337	0	0.01	0
v130	duplication_short	1.94833	0	0.01545	1
v131	snv	-0.61663	0	0.12374	0
v132	snv	-0.61663	0	0.02938	0
v133	snv	-0.61663	0	0.01	0
v134	snv	-0.61663	0	0.15704	0
v135	snv	-0.61663	0	0.01	0
v136	snv	-0.61663	0	0.03025	0
v137	snv	-0.61663	0	0.01	0
v138	snv	-0.61663	0	0.01	0
v139	small_indel	-0.0955	0	0.16143	0
v140	deletion_long	1.76343	0	0.01	1
v141	snv	-0.61663	0	0.01908	0
v142	snv	-0.61663	0	0.08248	0
v143	snv	-0.61663	0	0.01593	0
v144	snv	-0.61663	0	0.01	0
v145	snv	-0.61663	0	0.04094	0
v146	insertion_mei	2.50449	0	0.01	0
v147	snv	-0.61663	0	0.01	0
v148	snv	-0.61663	0	0.01	0
v149	snv	-0.61663	0	0.02083	0
v150	inversion_bnd_complex	1.35383	0	0.01	0
v151	snv	-0.61663	0	0.01	0
v152	snv	-0.61663	0	0.06556	0
v153	snv	-0.61663	0	0.01	0
v154	snv	-0.61663	0	0.01	0
v155	snv	-0.61663	0	0.01	0
v156	snv	-0.61663	0	0.01	0
v157	snv	-0.61663	0	0.01	0
v158	snv	-0.61663	0	0.1755	0
v159	snv	-0.61663	0	0.02931	0
v160	snv	-0.61663	0	0.01437	0
v161	str_vntr_repeat	1.38756	1	0.01	0
v162	snv	-0.61663	0	0.01507	0
v163	snv	-0.61663	0	0.01	0
v164	snv	-0.61663	0	0.01	0
v165	str_vntr_repeat	1.32108	1	0.0227	0
v166	snv	-0.61663	0	0.02884	0
v167	snv	-0.61663	0	0.02983	0
v168	snv	-0.61663	0	0.01306	0
v169	snv	-0.61663	0	0.01982	0
v170	snv	-0.61663	0	0.01	0
v171	duplication_short	0.55175	0	0.01611	1
v172	deletion_short	1.94702	0	0.01254	1
v173	small_indel	0.23574	0	0.04546	0
v174	duplication_short	1.44592	0	0.01	1
v175	snv	-0.61663	0	0.01	0
v176	snv	-0.61663	0	0.02613	0
v177	snv	-0.61663	0	0.03465	0
v178	snv	-0.61663	1	0.01	0
v179	snv	-0.61663	0	0.01	0
v180	snv	-0.61663	0	0.03707	0
v181	other_complex_sv	2.48315	0	0.0197	0
v182	snv	-0.61663	0	0.01514	0
v183	snv	-0.61663	0	0.20528	0
