variant_id	variant_class	sv_log_length	repeat_overlap	allele_frequency	is_copy_number
v0	snv	-0.68692	0	0.08161	0
v1	deletion_short	1.35552	0	0.01	1
v2	deletion_long	2.15983	0	0.01	1
v3	snv	-0.68692	0	0.01	0
v4	insertion_mei	1.0744	0	0.01	0
v5	snv	-0.68692	0	0.09146	0
v6	duplication_long	2.12943	0	0.01	1
v7	snv	-0.68692	0	0.08367	0
v8	snv	-0.68692	0	0.01	0
v9	snv	-0.68692	0	0.01339	0
v10	inversion_bnd_complex	1.74006	0	0.01	0
v11	str_vntr_repeat	1.0701	1	0.01	0
v12	duplication_short	2.48543	0	0.01	1
v13	snv	-0.68692	0	0.01	0
v14	str_vntr_repeat	0.43804	1	0.05118	0
v15	snv	-0.68692	0	0.01	0
v16	snv	-0.68692	0	0.01	0
v17	snv	-0.68692	0	0.01	0
v18	snv	-0.68692	0	0.01	0
v19	snv	-0.68692	0	0.01	0
v20	snv	-0.68692	1	0.01	0
v21	snv	-0.68692	0	0.01	0
v22	snv	-0.68692	0	0.0291	0
v23	snv	-0.68692	0	0.01708	0
v24	str_vntr_repeat	1.27494	1	0.01	0
v25	insertion_mei	2.50202	0	0.01	0
v26	snv	-0.68692	0	0.23961	0
v27	snv	-0.68692	0	0.13403	0
v28	inversion_bnd_complex	1.43698	0	0.01	0
v29	snv	-0.68692	0	0.01	0
v30	inversion_bnd_complex	2.04021	0	0.01	0
v31	snv	-0.68692	0	0.02892	0
v32	snv	-0.68692	0	0.01	0
v33	snv	-0.68692	0	0.01	0
v34	str_vntr_repeat	1.3925	1	0.01	0
v35	snv	-0.68692	0	0.05773	0
v36	other_complex_sv	0.5646	0	0.01	0
v37	deletion_short	1.03796	0	0.01	1
v38	snv	-0.68692	0	0.01	0
v39	snv	-0.68692	0	0.0554	0
v40	snv	-0.68692	0	0.01873	0
v41	snv	-0.68692	0	0.01	0
v42	deletion_long	0.44468	0	0.01	1
v43	deletion_long	1.40688	0	0.01	1
v44	inversion_bnd_complex	1.02306	0	0.01	0
v45	snv	-0.68692	0	0.0642	0
v46	deletion_short	1.02856	0	0.06483	1
v47	snv	-0.68692	0	0.01033	0
v48	snv	-0.68692	0	0.04515	0
v49	deletion_short	1.15318	0	0.01	1
v50	snv	-0.68692	0	0.03275	0
v51	insertion_mei	2.24113	1	0.01	0
v52	small_indel	-0.43044	0	0.09743	0
v53	small_indel	0.14312	0	0.16243	0
v54	small_indel	0.09922	0	0.05116	0
v55	str_vntr_repeat	1.81857	1	0.01	0
v56	snv	-0.68692	0	0.08558	0
v57	deletion_long	1.73251	0	0.01	1
v58	duplication_long	1.82889	0	0.01	1
v59	duplication_long	2.04354	1	0.01	1
v60	snv	-0.68692	0	0.01	0
v61	duplication_short	1.34272	0	0.01	1
v62	snv	-0.68692	0	0.07027	0
v63	snv	-0.68692	0	0.01	0
v64	snv	-0.68692	0	0.17471	0
v65	snv	-0.68692	0	0.01	0
v66	small_indel	-0.01213	0	0.09399	0
v67	duplication_short	1.25952	0	0.01	1
v68	insertion_mei	2.20168	1	0.01	0
v69	snv	-0.68692	0	0.01	0
v70	snv	-0.68692	0	0.0117	0
v71	insertion_mei	0.69789	0	0.01	0
v72	snv	-0.68692	0	0.01	0
v73	inversion_bnd_complex	1.76195	0	0.01	0
v74	inversion_bnd_complex	1.5482	0	0.01	0
v75	other_complex_sv	1.31316	1	0.01	0
v76	snv	-0.68692	0	0.01	0
v77	snv	-0.68692	1	0.05675	0
v78	snv	-0.68692	0	0.03609	0
v79	str_vntr_repeat	1.78878	1	0.01	0
v80	snv	-0.68692	0	0.01663	0
v81	deletion_short	2.43203	0	0.01	1
v82	small_indel	0.12939	0	0.01	0
v83	other_complex_sv	1.9403	0	0.01	0
v84	snv	-0.68692	0	0.05312	0
v85	snv	-0.68692	1	0.0144	0
v86	deletion_short	1.40635	0	0.15674	1
v87	snv	-0.68692	0	0.01	0
v88	snv	-0.68692	1	0.08188	0
v89	inversion_bnd_complex	1.14643	0	0.01	0
v90	inversion_bnd_complex	1.71435	0	0.01	0
v91	snv	-0.68692	0	0.01	0
v92	other_complex_sv	1.5335	1	0.01	0
v93	snv	-0.68692	0	0.11811	0
v94	small_indel	0.22168	0	0.01	0
v95	snv	-0.68692	0	0.01928	0
v96	str_vntr_repeat	1.26298	1	0.01	0
v97	snv	-0.68692	0	0.01	0
v98	duplication_long	1.66929	0	0.01	1
v99	inversion_bnd_complex	1.67977	1	0.01	0
v100	duplication_short	1.13465	0	0.01	1
v101	snv	-0.68692	0	0.01	0
v102	deletion_short	2.27599	0	0.01	1
v103	duplication_short	0.91717	0	0.04237	1
v104	str_vntr_repeat	1.14841	1	0.069	0
v105	snv	-0.68692	0	0.01	0
v106	small_indel	-0.36327	1	0.01665	0
v107	snv	-0.68692	0	0.0446	0
v108	snv	-0.68692	0	0.02182	0
v109	other_complex_sv	1.14008	0	0.01	0
v110	snv	-0.68692	0	0.01	0
v111	snv	-0.68692	0	0.01	0
v112	str_vntr_repeat	2.0168	1	0.01	0
v113	str_vntr_repeat	1.21884	1	0.01	0
v114	snv	-0.68692	0	0.01	0
v115	duplication_short	0.39075	0	0.01	1
v116	snv	-0.68692	0	0.02077	0
