variant_id	variant_class	sv_log_length	repeat_overlap	allele_frequency	is_copy_number
v0	snv	-0.69974	0	0.023	0
v1	inversion_bnd_complex	1.37706	0	0.01	0
v2	str_vntr_repeat	1.44654	1	0.01	0
v3	snv	-0.69974	0	0.01	0
v4	duplication_short	1.8405	0	0.01	1
v5	snv	-0.69974	0	0.0343	0
v6	snv	-0.69974	0	0.01	0
v7	duplication_short	0.85207	1	0.01	1
v8	snv	-0.69974	0	0.0222	0
v9	small_indel	-0.17679	0	0.01	0
v10	snv	-0.69974	0	0.01	0
v11	snv	-0.69974	1	0.01	0
v12	snv	-0.69974	0	0.01	0
v13	snv	-0.69974	0	0.01	0
v14	snv	-0.69974	0	0.02801	0
v15	snv	-0.69974	0	0.01	0
v16	deletion_short	0.97133	0	0.02321	1
v17	insertion_mei	0.77578	0	0.01985	0
v18	snv	-0.69974	1	0.10652	0
v19	snv	-0.69974	0	0.02085	0
v20	duplication_long	0.4882	1	0.01	1
v21	small_indel	-0.15171	0	0.01	0
v22	snv	-0.69974	0	0.01088	0
v23	snv	-0.69974	0	0.01	0
v24	deletion_short	0.97932	0	0.01	1
v25	duplication_short	1.24505	0	0.01	1
v26	snv	-0.69974	0	0.02404	0
v27	snv	-0.69974	0	0.01	0
v28	snv	-0.69974	0	0.01	0
v29	insertion_mei	0.95346	0	0.01932	0
v30	str_vntr_repeat	0.60313	1	0.01	0
v31	snv	-0.69974	0	0.02349	0
v32	deletion_short	0.66961	0	0.02536	1
v33	snv	-0.69974	0	0.01	0
v34	snv	-0.69974	0	0.01	0
v35	snv	-0.69974	0	0.10431	0
v36	snv	-0.69974	0	0.02288	0
v37	snv	-0.69974	1	0.01	0
v38	small_indel	0.01326	0	0.01372	0
v39	snv	-0.69974	0	0.01	0
v40	snv	-0.69974	0	0.01336	0
v41	deletion_short	0.5362	0	0.01	1
v42	snv	-0.69974	0	0.01	0
v43	insertion_mei	1.4747	0	0.01	0
v44	snv	-0.69974	0	0.01	0
v45	insertion_mei	2.10306	0	0.01	0
v46	snv	-0.69974	0	0.01	0
v47	snv	-0.69974	0	0.01	0
v48	duplication_long	2.11083	0	0.01	1
v49	deletion_short	0.45957	0	0.01	1
v50	snv	-0.69974	0	0.01	0
v51	insertion_mei	0.59596	0	0.01	0
v52	small_indel	0.00105	0	0.01	0
v53	small_indel	-0.3698	0	0.03797	0
v54	small_indel	0.03594	0	0.01	0
v55	snv	-0.69974	0	0.01	0
v56	small_indel	0.21149	0	0.01	0
v57	duplication_long	1.66352	0	0.01	1
v58	snv	-0.69974	0	0.01	0
v59	inversion_bnd_complex	1.92807	0	0.0237	0
v60	deletion_long	1.01623	0	0.01	1
v61	snv	-0.69974	0	0.01	0
v62	deletion_short	0.68823	0	0.02151	1
v63	other_complex_sv	1.52637	0	0.01	0
v64	snv	-0.69974	0	0.5	0
v65	snv	-0.69974	0	0.01	0
v66	snv	-0.69974	0	0.01	0
v67	deletion_short	1.04274	0	0.01158	1
v68	snv	-0.69974	0	0.01	0
v69	snv	-0.69974	0	0.01	0
v70	snv	-0.69974	0	0.01	0
v71	snv	-0.69974	0	0.01	0
v72	snv	-0.69974	0	0.01	0
v73	snv	-0.69974	0	0.01221	0
v74	snv	-0.69974	0	0.01	0
v75	snv	-0.69974	0	0.01	0
