variant_id	variant_class	sv_log_length	repeat_overlap	allele_frequency	is_copy_number
v0	snv	-0.54215	0	0.01	0
v1	snv	-0.54215	0	0.22907	0
v2	small_indel	0.42606	0	0.03213	0
v3	snv	-0.54215	1	0.01	0
v4	snv	-0.54215	0	0.03054	0
v5	insertion_mei	1.51613	0	0.16776	0
v6	small_indel	0.48028	0	0.02574	0
v7	snv	-0.54215	0	0.02891	0
v8	snv	-0.54215	0	0.01	0
v9	duplication_long	0.88838	0	0.01	1
v10	inversion_bnd_complex	2.98366	1	0.02211	0
v11	snv	-0.54215	0	0.03817	0
v12	snv	-0.54215	0	0.02694	0
v13	duplication_long	3.05971	0	0.01	1
v14	inversion_bnd_complex	2.06547	0	0.01	0
v15	snv	-0.54215	0	0.01	0
v16	snv	-0.54215	0	0.01	0
v17	snv	-0.54215	0	0.14489	0
v18	snv	-0.54215	0	0.05112	0
v19	snv	-0.54215	0	0.01	0
v20	snv	-0.54215	0	0.01	0
v21	snv	-0.54215	0	0.07836	0
v22	snv	-0.54215	1	0.05263	0
v23	snv	-0.54215	1	0.01	0
v24	snv	-0.54215	0	0.01	0
v25	small_indel	0.35816	0	0.09619	0
v26	snv	-0.54215	0	0.01131	0
v27	insertion_mei	0.80021	0	0.01	0
v28	snv	-0.54215	0	0.01863	0
v29	snv	-0.54215	0	0.01716	0
v30	snv	-0.54215	0	0.01	0
v31	small_indel	-0.05804	0	0.01	0
v32	snv	-0.54215	1	0.01	0
v33	snv	-0.54215	0	0.01	0
v34	small_indel	0.48635	1	0.02926	0
v35	duplication_short	2.07079	0	0.01	1
v36	snv	-0.54215	0	0.01345	0
v37	inversion_bnd_complex	3.14185	0	0.01	0
v38	snv	-0.54215	0	0.02014	0
v39	small_indel	0.10573	0	0.01	0
v40	snv	-0.54215	1	0.01148	0
v41	snv	-0.54215	0	0.01	0
v42	snv	-0.54215	0	0.01	0
v43	snv	-0.54215	0	0.01	0
v44	small_indel	0.18952	0	0.01	0
v45	snv	-0.54215	0	0.01665	0
v46	snv	-0.54215	0	0.04046	0
v47	snv	-0.54215	0	0.10439	0
v48	snv	-0.54215	0	0.05829	0
v49	snv	-0.54215	0	0.03089	0
v50	duplication_short	2.662	0	0.01	1
v51	snv	-0.54215	0	0.01	0
v52	insertion_mei	2.51995	0	0.01	0
v53	snv	-0.54215	0	0.03384	0
v54	snv	-0.54215	0	0.07041	0
v55	snv	-0.54215	0	0.01	0
v56	snv	-0.54215	0	0.20213	0
v57	snv	-0.54215	0	0.01	0
v58	snv	-0.54215	0	0.02472	0
v59	inversion_bnd_complex	0.89943	0	0.01	0
v60	snv	-0.54215	0	0.01289	0
v61	snv	-0.54215	0	0.04222	0
v62	small_indel	0.23878	0	0.01	0
v63	snv	-0.54215	0	0.01	0
v64	deletion_short	1.35736	0	0.01	1
v65	snv	-0.54215	0	0.13456	0
v66	snv	-0.54215	0	0.04679	0
v67	snv	-0.54215	0	0.02738	0
v68	snv	-0.54215	0	0.01	0
v69	snv	-0.54215	0	0.01469	0
v70	small_indel	0.36764	0	0.03808	0
v71	snv	-0.54215	0	0.01	0
v72	str_vntr_repeat	1.53003	1	0.01	0
v73	snv	-0.54215	1	0.13448	0
v74	insertion_mei	1.12599	0	0.01	0
v75	duplication_short	2.29854	0	0.01	1
v76	snv	-0.54215	0	0.01	0
v77	snv	-0.54215	0	0.01	0
v78	snv	-0.54215	0	0.01	0
v79	snv	-0.54215	1	0.04496	0
v80	snv	-0.54215	0	0.01	0
v81	snv	-0.54215	0	0.01	0
v82	snv	-0.54215	0	0.01009	0
v83	snv	-0.54215	0	0.037	0
v84	snv	-0.54215	0	0.01	0
v85	str_vntr_repeat	2.26329	1	0.01	0
v86	small_indel	0.36764	0	0.02077	0
v87	small_indel	0.41062	0	0.04584	0
v88	snv	-0.54215	0	0.01	0
v89	snv	-0.54215	0	0.09054	0
v90	snv	-0.54215	0	0.01	0
v91	snv	-0.54215	1	0.01	0
v92	snv	-0.54215	0	0.01	0
v93	snv	-0.54215	0	0.01	0
v94	snv	-0.54215	0	0.01	0
v95	small_indel	0.05151	0	0.01	0
v96	snv	-0.54215	0	0.4379	0
v97	snv	-0.54215	0	0.01	0
v98	snv	-0.54215	0	0.06998	0
v99	snv	-0.54215	0	0.01009	0
v100	snv	-0.54215	0	0.01	0
v101	snv	-0.54215	0	0.02109	0
v102	snv	-0.54215	1	0.04295	0
v103	snv	-0.54215	0	0.01225	0
v104	snv	-0.54215	0	0.29917	0
v105	small_indel	0.50379	0	0.01	0
v106	snv	-0.54215	0	0.04275	0
v107	small_indel	0.17088	0	0.01	0
v108	snv	-0.54215	0	0.01	0
v109	snv	-0.54215	0	0.03178	0
v110	small_indel	0.3768	0	0.03927	0
v111	other_complex_sv	1.79561	0	0.01252	0
v112	snv	-0.54215	0	0.01601	0
v113	duplication_short	1.30264	0	0.01	1
v114	snv	-0.54215	0	0.01	0
v115	duplication_short	2.77178	0	0.0511	1
v116	small_indel	0.41845	1	0.09525	0
v117	small_indel	0.33814	0	0.02747	0
v118	snv	-0.54215	0	0.01	0
v119	snv	-0.54215	0	0.01	0
v120	duplication_short	2.9032	0	0.01	1
v121	snv	-0.54215	0	0.01	0
v122	small_indel	0.46771	0	0.01	0
v123	snv	-0.54215	0	0.01	0
v124	snv	-0.54215	1	0.01268	0
v125	snv	-0.54215	0	0.02928	0
v126	duplication_short	0.70216	0	0.01	1
v127	duplication_short	1.84665	1	0.01	1
v128	snv	-0.54215	0	0.01	0
v129	snv	-0.54215	0	0.0215	0
v130	insertion_mei	1.05043	0	0.01	0
v131	snv	-0.54215	0	0.01	0
v132	insertion_mei	2.44407	0	0.02725	0
v133	snv	-0.54215	0	0.01	0
v134	snv	-0.54215	0	0.01	0
v135	snv	-0.54215	0	0.01	0
v136	snv	-0.54215	0	0.01	0
v137	small_indel	0.01968	0	0.01066	0
v138	small_indel	-0.16759	0	0.05368	0
v139	small_indel	-0.05804	0	0.06039	0
v140	snv	-0.54215	0	0.05122	0
v141	snv	-0.54215	0	0.08717	0
v142	snv	-0.54215	0	0.01821	0
v143	snv	-0.54215	0	0.21658	0
v144	snv	-0.54215	0	0.08746	0
v145	snv	-0.54215	0	0.01	0
v146	snv	-0.54215	0	0.01	0
v147	snv	-0.54215	0	0.03882	0
v148	snv	-0.54215	0	0.01	0
v149	snv	-0.54215	0	0.01	0
v150	insertion_mei	0.73336	0	0.01	0
v151	snv	-0.54215	0	0.01	0
v152	inversion_bnd_complex	2.48657	0	0.0156	0
v153	str_vntr_repeat	2.85556	1	0.01784	0
v154	duplication_short	1.55215	0	0.01	1
v155	snv	-0.54215	0	0.01	0
v156	snv	-0.54215	0	0.08406	0
v157	snv	-0.54215	0	0.01426	0
v158	insertion_mei	1.66439	0	0.01	0
v159	small_indel	0.49229	0	0.01	0
v160	snv	-0.54215	0	0.01	0
v161	snv	-0.54215	0	0.03227	0
v162	small_indel	0.49229	0	0.01	0
v163	snv	-0.54215	0	0.06658	0
v164	snv	-0.54215	0	0.04032	0
v165	snv	-0.54215	0	0.01	0
v166	snv	-0.54215	0	0.13225	0
v167	snv	-0.54215	0	0.01	0
v168	snv	-0.54215	0	0.01	0
v169	snv	-0.54215	0	0.01	0
v170	snv	-0.54215	0	0.01	0
v171	snv	-0.54215	0	0.01	0
v172	duplication_short	1.85851	0	0.01	1
v173	snv	-0.54215	0	0.01	0
v174	str_vntr_repeat	2.15619	1	0.01	0
v175	snv	-0.54215	0	0.1076	0
v176	snv	-0.54215	0	0.0219	0
v177	small_indel	0.44769	0	0.01	0
v178	snv	-0.54215	0	0.08454	0
v179	snv	-0.54215	0	0.01	0
v180	small_indel	0.41062	0	0.01514	0
v181	snv	-0.54215	0	0.01	0
v182	snv	-0.54215	0	0.01	0
v183	snv	-0.54215	0	0.01626	0
v184	snv	-0.54215	0	0.01	0
v185	snv	-0.54215	0	0.01	0
v186	deletion_short	1.60613	0	0.01	1
v187	str_vntr_repeat	2.00077	1	0.01	0
v188	snv	-0.54215	1	0.0109	0
v189	snv	-0.54215	1	0.01	0
v190	snv	-0.54215	0	0.01	0
v191	snv	-0.54215	0	0.15192	0
v192	small_indel	0.31651	0	0.04446	0
v193	snv	-0.54215	0	0.01	0
v194	snv	-0.54215	1	0.06624	0
v195	insertion_mei	1.33971	0	0.01	0
v196	small_indel	0.10573	0	0.01	0
v197	snv	-0.54215	0	0.12136	0
v198	snv	-0.54215	0	0.01	0
