variant_id	variant_class	sv_log_length	repeat_overlap	allele_frequency	is_copy_number
v0	duplication_long	1.82829	0	0.01	1
v1	snv	-0.83781	0	0.04247	0
v2	inversion_bnd_complex	0.84368	0	0.09243	0
v3	snv	-0.83781	0	0.03686	0
v4	inversion_bnd_complex	1.77848	0	0.01	0
v5	snv	-0.83781	0	0.01	0
v6	inversion_bnd_complex	1.63314	0	0.01	0
v7	duplication_short	0.09659	1	0.01	1
v8	insertion_mei	0.62727	1	0.01	0
v9	deletion_long	0.09997	0	0.04843	1
v10	snv	-0.83781	0	0.01085	0
v11	duplication_long	0.94659	0	0.01	1
v12	snv	-0.83781	0	0.05765	0
v13	snv	-0.83781	0	0.21296	0
v14	snv	-0.83781	1	0.12213	0
v15	str_vntr_repeat	1.80163	1	0.01	0
v16	snv	-0.83781	0	0.11532	0
v17	insertion_mei	0.21585	0	0.029	0
v18	snv	-0.83781	0	0.01	0
v19	duplication_long	1.35964	0	0.01	1
v20	snv	-0.83781	0	0.01596	0
v21	insertion_mei	1.55598	0	0.01	0
v22	duplication_short	1.16302	0	0.01	1
v23	deletion_short	0.45699	0	0.01	1
v24	duplication_short	0.24054	0	0.01	1
v25	snv	-0.83781	0	0.03541	0
v26	snv	-0.83781	0	0.01	0
v27	snv	-0.83781	0	0.01	0
v28	inversion_bnd_complex	1.0757	0	0.01	0
v29	str_vntr_repeat	0.15852	1	0.01	0
v30	inversion_bnd_complex	1.92194	0	0.01	0
v31	insertion_mei	1.93134	1	0.01	0
v32	snv	-0.83781	0	0.01	0
v33	insertion_mei	1.65853	0	0.01	0
v34	snv	-0.83781	0	0.15988	0
v35	snv	-0.83781	0	0.01	0
v36	inversion_bnd_complex	1.26148	0	0.01	0
v37	snv	-0.83781	0	0.01	0
v38	snv	-0.83781	0	0.27053	0
v39	snv	-0.83781	0	0.01	0
v40	other_complex_sv	1.35452	0	0.01	0
v41	snv	-0.83781	1	0.0345	0
v42	snv	-0.83781	0	0.01	0
v43	snv	-0.83781	0	0.01196	0
v44	duplication_short	0.98675	0	0.0485	1
v45	snv	-0.83781	0	0.10687	0
v46	deletion_long	0.63489	0	0.01	1
v47	snv	-0.83781	0	0.01	0
v48	deletion_short	1.04394	0	0.03632	1
v49	snv	-0.83781	0	0.01	0
v50	snv	-0.83781	0	0.01	0
v51	small_indel	-0.18525	0	0.01	0
v52	other_complex_sv	0.28881	0	0.02381	0
v53	duplication_long	1.71097	0	0.01851	1
v54	other_complex_sv	1.45208	0	0.01	0
v55	duplication_long	1.40444	0	0.01	1
v56	duplication_short	1.61162	0	0.01	1
v57	snv	-0.83781	0	0.01354	0
v58	other_complex_sv	1.25255	0	0.03563	0
v59	snv	-0.83781	0	0.01	0
v60	snv	-0.83781	0	0.01	0
v61	str_vntr_repeat	0.34032	1	0.01	0
v62	snv	-0.83781	0	0.05081	0
v63	str_vntr_repeat	1.01461	1	0.01	0
v64	snv	-0.83781	0	0.01	0
v65	snv	-0.83781	0	0.01	0
v66	str_vntr_repeat	1.7494	1	0.01	0
v67	small_indel	-0.05728	0	0.08942	0
v68	snv	-0.83781	0	0.01064	0
v69	small_indel	-0.27573	0	0.01	0
v70	deletion_short	1.5206	0	0.01	1
v71	snv	-0.83781	0	0.09332	0
v72	deletion_long	1.81126	0	0.01	1
v73	snv	-0.83781	0	0.04918	0
v74	snv	-0.83781	1	0.01	0
v75	snv	-0.83781	0	0.01	0
v76	snv	-0.83781	0	0.01896	0
v77	deletion_short	0.57918	0	0.097	1
v78	snv	-0.83781	1	0.19212	0
v79	small_indel	-0.61509	0	0.01	0
v80	snv	-0.83781	0	0.02753	0
v81	deletion_short	1.35373	0	0.01	1
v82	snv	-0.83781	0	0.01	0
v83	snv	-0.83781	0	0.01	0
v84	snv	-0.83781	0	0.01	0
v85	str_vntr_repeat	1.71347	1	0.03235	0
v86	deletion_long	1.55176	0	0.01	1
v87	snv	-0.83781	0	0.16443	0
v88	snv	-0.83781	0	0.07774	0
v89	snv	-0.83781	0	0.016	0
v90	snv	-0.83781	0	0.01	0
v91	snv	-0.83781	0	0.01	0
v92	other_complex_sv	1.51416	0	0.01	0
v93	snv	-0.83781	0	0.01	0
v94	duplication_long	1.64646	0	0.01	1
v95	small_indel	-0.10578	0	0.01	0
v96	str_vntr_repeat	0.68505	1	0.03885	0
v97	snv	-0.83781	0	0.01	0
v98	duplication_short	1.8028	0	0.02716	1
v99	inversion_bnd_complex	1.89164	0	0.02564	0
v100	duplication_short	1.35784	0	0.01	1
v101	deletion_short	0.8678	0	0.02641	1
v102	snv	-0.83781	0	0.04577	0
v103	small_indel	-0.35169	0	0.01	0
v104	other_complex_sv	1.42649	0	0.01	0
v105	deletion_long	1.14929	0	0.01	1
v106	snv	-0.83781	0	0.01	0
v107	snv	-0.83781	0	0.07861	0
v108	str_vntr_repeat	0.22291	1	0.01	0
v109	snv	-0.83781	0	0.01	0
v110	deletion_long	1.16253	0	0.01	1
v111	snv	-0.83781	0	0.01	0
v112	snv	-0.83781	0	0.02125	0
v113	snv	-0.83781	0	0.01	0
v114	inversion_bnd_complex	0.86317	0	0.01	0
v115	str_vntr_repeat	0.84508	1	0.01	0
v116	snv	-0.83781	0	0.01	0
v117	small_indel	-0.3028	0	0.01	0
v118	str_vntr_repeat	0.30437	1	0.01	0
v119	snv	-0.83781	1	0.01	0
v120	duplication_long	1.84764	0	0.01	1
v121	duplication_short	1.6493	0	0.01	1
v122	snv	-0.83781	0	0.01286	0
v123	inversion_bnd_complex	0.87302	0	0.0777	0
v124	small_indel	-0.11704	0	0.15298	0
v125	snv	-0.83781	0	0.1839	0
v126	insertion_mei	0.90665	0	0.01204	0
v127	snv	-0.83781	0	0.01	0
v128	snv	-0.83781	0	0.01081	0
v129	snv	-0.83781	0	0.01	0
v130	duplication_long	1.18705	0	0.01	1
v131	snv	-0.83781	0	0.04228	0
v132	deletion_short	1.8186	0	0.01	1
v133	snv	-0.83781	0	0.01	0
v134	deletion_long	1.14741	1	0.01063	1
v135	snv	-0.83781	0	0.38124	0
v136	snv	-0.83781	0	0.01161	0
v137	snv	-0.83781	0	0.0903	0
