variant_id	variant_class	sv_log_length	repeat_overlap	allele_frequency	is_copy_number
v0	deletion_long	2.41702	0	0.01	1
v1	deletion_long	0.41378	0	0.01	1
v2	snv	-0.7102	0	0.01	0
v3	snv	-0.7102	0	0.01	0
v4	snv	-0.7102	0	0.01	0
v5	snv	-0.7102	0	0.0746	0
v6	small_indel	0.13991	0	0.01	0
v7	deletion_long	2.44337	0	0.01	1
v8	snv	-0.7102	0	0.01	0
v9	insertion_mei	0.72913	0	0.01198	0
v10	snv	-0.7102	0	0.19447	0
v11	str_vntr_repeat	2.2607	1	0.01	0
v12	snv	-0.7102	0	0.01177	0
v13	snv	-0.7102	0	0.11356	0
v14	deletion_long	1.95535	0	0.01	1
v15	snv	-0.7102	0	0.01	0
v16	snv	-0.7102	0	0.08251	0
v17	duplication_long	1.70905	0	0.02103	1
v18	snv	-0.7102	1	0.08116	0
v19	snv	-0.7102	0	0.01	0
v20	snv	-0.7102	0	0.0862	0
v21	snv	-0.7102	1	0.01539	0
v22	snv	-0.7102	0	0.08919	0
v23	snv	-0.7102	0	0.0474	0
v24	snv	-0.7102	0	0.04476	0
v25	deletion_short	2.11089	0	0.01	1
v26	duplication_long	0.79692	0	0.01	1
v27	snv	-0.7102	0	0.1897	0
v28	small_indel	0.09558	0	0.01691	0
v29	snv	-0.7102	0	0.01	0
v30	snv	-0.7102	0	0.01804	0
v31	small_indel	-0.39073	0	0.03926	0
v32	duplication_short	2.0598	0	0.01	1
v33	small_indel	-0.10202	0	0.0189	0
v34	duplication_short	1.18438	1	0.01	1
v35	snv	-0.7102	0	0.01	0
v36	snv	-0.7102	0	0.02813	0
v37	snv	-0.7102	1	0.03515	0
v38	snv	-0.7102	0	0.01	0
v39	snv	-0.7102	0	0.01412	0
v40	snv	-0.7102	0	0.01	0
v41	snv	-0.7102	0	0.01381	0
v42	other_complex_sv	2.12404	0	0.01	0
v43	snv	-0.7102	0	0.01	0
v44	snv	-0.7102	0	0.15429	0
v45	snv	-0.7102	0	0.01	0
v46	snv	-0.7102	0	0.01	0
v47	snv	-0.7102	0	0.01	0
v48	snv	-0.7102	0	0.03154	0
v49	snv	-0.7102	0	0.02799	0
v50	snv	-0.7102	0	0.01	0
v51	snv	-0.7102	0	0.01438	0
v52	snv	-0.7102	0	0.01	0
v53	snv	-0.7102	1	0.02513	0
v54	snv	-0.7102	1	0.01	0
v55	small_indel	0.08849	0	0.0219	0
v56	snv	-0.7102	1	0.01915	0
v57	snv	-0.7102	0	0.01	0
v58	deletion_short	2.08338	0	0.01	1
v59	snv	-0.7102	0	0.01	0
v60	snv	-0.7102	0	0.01	0
v61	snv	-0.7102	0	0.01	0
v62	small_indel	0.0658	0	0.01	0
v63	snv	-0.7102	1	0.01	0
v64	snv	-0.7102	0	0.01	0
v65	snv	-0.7102	0	0.073	0
v66	deletion_long	0.48684	1	0.01	1
v67	snv	-0.7102	1	0.01	0
v68	snv	-0.7102	0	0.01	0
v69	small_indel	0.18193	0	0.01	0
v70	snv	-0.7102	0	0.01	0
v71	deletion_long	0.7668	0	0.01	1
v72	deletion_short	1.16977	0	0.07975	1
v73	snv	-0.7102	0	0.18798	0
v74	snv	-0.7102	0	0.01116	0
v75	snv	-0.7102	0	0.01439	0
v76	small_indel	-0.3393	0	0.08256	0
v77	snv	-0.7102	0	0.01	0
v78	snv	-0.7102	0	0.01	0
v79	snv	-0.7102	0	0.01	0
v80	insertion_mei	1.17234	0	0.01	0
v81	snv	-0.7102	0	0.05722	0
v82	snv	-0.7102	0	0.03445	0
v83	snv	-0.7102	0	0.01	0
v84	other_complex_sv	0.59248	0	0.01	0
v85	snv	-0.7102	0	0.03016	0
v86	snv	-0.7102	0	0.01	0
v87	snv	-0.7102	0	0.01	0
v88	small_indel	0.15658	0	0.01	0
v89	snv	-0.7102	0	0.01	0
v90	snv	-0.7102	0	0.07807	0
v91	snv	-0.7102	0	0.01712	0
v92	small_indel	0.04933	0	0.03707	0
v93	snv	-0.7102	0	0.01	0
v94	snv	-0.7102	0	0.01	0
v95	snv	-0.7102	0	0.02933	0
v96	snv	-0.7102	0	0.06734	0
v97	deletion_long	0.60042	0	0.01782	1
v98	snv	-0.7102	0	0.01445	0
v99	snv	-0.7102	1	0.01	0
v100	snv	-0.7102	0	0.01	0
v101	snv	-0.7102	0	0.02034	0
v102	snv	-0.7102	0	0.01	0
v103	snv	-0.7102	0	0.01	0
v104	snv	-0.7102	0	0.01	0
v105	small_indel	0.15116	0	0.01	0
v106	deletion_short	0.99139	0	0.01	1
v107	deletion_short	1.30168	0	0.01	1
v108	other_complex_sv	1.23254	0	0.01	0
v109	small_indel	0.0658	0	0.01	0
v110	deletion_long	1.6782	0	0.01	1
v111	deletion_short	2.42919	0	0.01	1
v112	snv	-0.7102	0	0.01	0
v113	snv	-0.7102	0	0.05711	0
v114	inversion_bnd_complex	0.80613	0	0.01	0
v115	deletion_long	2.19229	0	0.01	1
v116	snv	-0.7102	0	0.04684	0
v117	snv	-0.7102	0	0.01	0
v118	other_complex_sv	2.20175	0	0.01	0
v119	snv	-0.7102	0	0.0213	0
v120	snv	-0.7102	1	0.01	0
v121	snv	-0.7102	0	0.02366	0
v122	snv	-0.7102	0	0.04439	0
v123	inversion_bnd_complex	0.60568	0	0.01	0
v124	snv	-0.7102	0	0.01	0
v125	snv	-0.7102	0	0.01	0
v126	snv	-0.7102	0	0.01	0
v127	snv	-0.7102	0	0.01	0
v128	snv	-0.7102	0	0.01	0
v129	snv	-0.7102	0	0.01	0
v130	snv	-0.7102	0	0.05206	0
v131	snv	-0.7102	0	0.01	0
v132	snv	-0.7102	0	0.0354	0
v133	small_indel	-0.07125	0	0.11566	0
v134	snv	-0.7102	0	0.01	0
v135	deletion_short	2.2184	0	0.05041	1
v136	insertion_mei	0.8793	0	0.01456	0
v137	duplication_short	1.92957	0	0.01	1
v138	deletion_long	2.35569	0	0.02564	1
v139	duplication_long	0.9184	0	0.05656	1
v140	snv	-0.7102	0	0.01806	0
v141	inversion_bnd_complex	1.99247	0	0.02611	0
v142	small_indel	0.1456	0	0.01978	0
v143	duplication_short	1.69673	0	0.01	1
v144	snv	-0.7102	0	0.01	0
v145	small_indel	0.10246	0	0.07374	0
v146	snv	-0.7102	0	0.01	0
v147	insertion_mei	0.97757	0	0.01	0
v148	small_indel	-0.07125	0	0.01	0
v149	small_indel	0.08117	0	0.12919	0
v150	snv	-0.7102	0	0.01	0
v151	snv	-0.7102	0	0.01	0
v152	insertion_mei	0.55783	0	0.01843	0
v153	snv	-0.7102	0	0.01	0
v154	snv	-0.7102	0	0.15152	0
v155	snv	-0.7102	0	0.04038	0
v156	snv	-0.7102	0	0.01	0
v157	str_vntr_repeat	0.59823	1	0.01	0
v158	deletion_long	0.79668	1	0.01	1
v159	snv	-0.7102	0	0.01	0
v160	snv	-0.7102	0	0.01	0
v161	snv	-0.7102	0	0.01	0
v162	small_indel	0.13991	0	0.01	0
v163	small_indel	0.10246	0	0.04234	0
v164	snv	-0.7102	0	0.01	0
v165	duplication_long	0.72901	0	0.01	1
v166	snv	-0.7102	0	0.01	0
v167	snv	-0.7102	0	0.02383	0
v168	insertion_mei	2.39223	0	0.01	0
v169	snv	-0.7102	0	0.01614	0
v170	small_indel	-0.39073	0	0.05532	0
v171	snv	-0.7102	0	0.0195	0
v172	snv	-0.7102	0	0.03199	0
v173	snv	-0.7102	0	0.01	0
v174	duplication_short	0.8064	0	0.01	1
v175	snv	-0.7102	0	0.01	0
v176	snv	-0.7102	0	0.01	0
