variant_id	variant_class	sv_log_length	repeat_overlap	allele_frequency	is_copy_number
v0	snv	-0.80516	0	0.01	0
v1	insertion_mei	0.33486	0	0.01	0
v2	snv	-0.80516	0	0.01	0
v3	snv	-0.80516	0	0.01	0
v4	snv	-0.80516	0	0.06544	0
v5	snv	-0.80516	0	0.04	0
v6	deletion_long	1.93518	0	0.01	1
v7	snv	-0.80516	1	0.0167	0
v8	snv	-0.80516	0	0.03111	0
v9	snv	-0.80516	1	0.01135	0
v10	duplication_long	1.62431	0	0.01	1
v11	snv	-0.80516	0	0.06981	0
v12	insertion_mei	2.07982	0	0.01082	0
v13	snv	-0.80516	0	0.01	0
v14	snv	-0.80516	0	0.03135	0
v15	snv	-0.80516	0	0.03311	0
v16	deletion_long	0.2292	0	0.01	1
v17	snv	-0.80516	0	0.01	0
v18	duplication_short	1.22122	0	0.01	1
v19	other_complex_sv	0.43574	0	0.01138	0
v20	snv	-0.80516	0	0.02953	0
v21	snv	-0.80516	0	0.18341	0
v22	insertion_mei	1.43787	0	0.01	0
v23	deletion_long	0.66104	0	0.01	1
v24	deletion_short	1.12838	0	0.01	1
v25	snv	-0.80516	0	0.01	0
v26	duplication_short	0.68787	0	0.01	1
v27	inversion_bnd_complex	0.76709	0	0.15602	0
v28	inversion_bnd_complex	1.64881	0	0.05442	0
v29	duplication_short	1.23131	0	0.01	1
v30	snv	-0.80516	1	0.02231	0
v31	insertion_mei	0.25597	1	0.01632	0
v32	inversion_bnd_complex	1.64952	0	0.01791	0
v33	deletion_short	1.87527	0	0.01	1
v34	snv	-0.80516	0	0.01	0
v35	other_complex_sv	1.44457	0	0.01	0
v36	snv	-0.80516	0	0.01	0
v37	deletion_long	2.07378	0	0.01	1
v38	inversion_bnd_complex	1.76432	0	0.05982	0
v39	small_indel	-0.12018	0	0.01	0
v40	snv	-0.80516	0	0.04624	0
v41	snv	-0.80516	0	0.08749	0
v42	snv	-0.80516	0	0.02311	0
v43	deletion_long	1.88013	0	0.01	1
v44	deletion_short	1.64384	1	0.01	1
v45	deletion_long	0.71679	0	0.01	1
v46	insertion_mei	0.8515	0	0.01	0
v47	snv	-0.80516	0	0.01	0
v48	snv	-0.80516	0	0.01	0
v49	snv	-0.80516	0	0.01	0
v50	snv	-0.80516	0	0.10961	0
v51	small_indel	-0.03676	0	0.05831	0
v52	duplication_short	0.5942	1	0.01	1
v53	snv	-0.80516	0	0.08824	0
v54	snv	-0.80516	0	0.22158	0
v55	duplication_long	0.75667	0	0.01	1
v56	snv	-0.80516	1	0.05328	0
v57	snv	-0.80516	0	0.01	0
v58	str_vntr_repeat	1.88002	1	0.01	0
v59	snv	-0.80516	0	0.26028	0
v60	snv	-0.80516	0	0.01	0
v61	snv	-0.80516	0	0.02355	0
v62	snv	-0.80516	0	0.01	0
v63	snv	-0.80516	0	0.01	0
v64	insertion_mei	1.35831	0	0.01	0
v65	duplication_short	0.26245	0	0.01	1
v66	inversion_bnd_complex	0.27745	0	0.01	0
v67	snv	-0.80516	1	0.01611	0
v68	duplication_long	1.60746	1	0.01	1
v69	other_complex_sv	0.79732	0	0.03221	0
v70	small_indel	-0.11184	0	0.01	0
v71	snv	-0.80516	0	0.01	0
v72	snv	-0.80516	0	0.03073	0
v73	snv	-0.80516	0	0.05403	0
v74	snv	-0.80516	0	0.01	0
v75	snv	-0.80516	0	0.01	0
v76	duplication_long	0.7001	0	0.01475	1
v77	snv	-0.80516	0	0.03343	0
v78	snv	-0.80516	0	0.02163	0
v79	inversion_bnd_complex	0.30139	0	0.02006	0
v80	snv	-0.80516	0	0.01	0
v81	snv	-0.80516	0	0.01	0
v82	snv	-0.80516	0	0.01	0
v83	snv	-0.80516	0	0.03811	0
v84	snv	-0.80516	0	0.02592	0
v85	str_vntr_repeat	1.85808	1	0.05934	0
v86	snv	-0.80516	0	0.01	0
v87	deletion_long	1.58122	0	0.01	1
v88	deletion_long	0.74795	0	0.01	1
v89	inversion_bnd_complex	1.22607	0	0.01	0
v90	duplication_long	0.47698	0	0.01116	1
v91	snv	-0.80516	0	0.01	0
v92	snv	-0.80516	0	0.01	0
v93	deletion_long	1.09059	0	0.03073	1
v94	insertion_mei	0.51074	1	0.01	0
v95	snv	-0.80516	0	0.01	0
v96	snv	-0.80516	0	0.01	0
v97	inversion_bnd_complex	0.25759	0	0.04098	0
v98	snv	-0.80516	1	0.01	0
