variant_id	variant_class	sv_log_length	repeat_overlap	allele_frequency	is_copy_number
v0	snv	-0.75412	0	0.02083	0
v1	deletion_short	1.85822	0	0.01	1
v2	snv	-0.75412	0	0.05664	0
v3	snv	-0.75412	0	0.01	0
v4	other_complex_sv	0.54453	0	0.01	0
v5	snv	-0.75412	0	0.01	0
v6	snv	-0.75412	0	0.01	0
v7	snv	-0.75412	0	0.01	0
v8	snv	-0.75412	0	0.07359	0
v9	duplication_short	0.72029	0	0.01593	1
v10	str_vntr_repeat	0.24129	1	0.01	0
v11	snv	-0.75412	0	0.17647	0
v12	deletion_short	0.52762	0	0.01	1
v13	snv	-0.75412	0	0.01813	0
v14	snv	-0.75412	0	0.02548	0
v15	snv	-0.75412	0	0.01	0
v16	snv	-0.75412	0	0.06266	0
v17	snv	-0.75412	0	0.01615	0
v18	deletion_long	1.707	1	0.01	1
v19	snv	-0.75412	0	0.01	0
v20	deletion_long	2.14103	0	0.01	1
v21	snv	-0.75412	0	0.01	0
v22	snv	-0.75412	0	0.16567	0
v23	snv	-0.75412	0	0.01	0
v24	snv	-0.75412	0	0.01	0
v25	inversion_bnd_complex	1.17973	0	0.01	0
v26	snv	-0.75412	0	0.03144	0
v27	snv	-0.75412	0	0.02115	0
v28	snv	-0.75412	0	0.01	0
v29	duplication_short	1.14944	0	0.01	1
v30	deletion_long	0.80658	0	0.0158	1
v31	deletion_short	0.27314	0	0.01	1
v32	str_vntr_repeat	1.38206	1	0.01	0
v33	other_complex_sv	1.46363	0	0.01583	0
v34	other_complex_sv	0.59507	0	0.01	0
v35	deletion_short	0.57534	0	0.0154	1
v36	snv	-0.75412	0	0.20856	0
v37	snv	-0.75412	0	0.05987	0
v38	duplication_long	0.7021	1	0.01693	1
v39	snv	-0.75412	0	0.01445	0
v40	inversion_bnd_complex	1.78394	0	0.01	0
v41	inversion_bnd_complex	1.83	0	0.01	0
v42	snv	-0.75412	1	0.02279	0
v43	snv	-0.75412	0	0.01	0
v44	snv	-0.75412	0	0.01	0
v45	small_indel	-0.03182	0	0.01545	0
v46	str_vntr_repeat	0.81387	1	0.01799	0
v47	snv	-0.75412	0	0.01571	0
v48	snv	-0.75412	0	0.01	0
v49	snv	-0.75412	1	0.05907	0
v50	insertion_mei	1.63941	0	0.01	0
v51	deletion_short	0.7033	0	0.01	1
v52	snv	-0.75412	0	0.01	0
v53	snv	-0.75412	0	0.03287	0
v54	snv	-0.75412	0	0.06334	0
v55	small_indel	-0.45972	0	0.0257	0
v56	deletion_short	0.74817	0	0.01	1
v57	other_complex_sv	1.41132	1	0.01	0
v58	inversion_bnd_complex	2.16262	0	0.01	0
v59	inversion_bnd_complex	0.39358	0	0.01	0
v60	snv	-0.75412	0	0.01573	0
v61	small_indel	-0.41233	0	0.03608	0
v62	snv	-0.75412	0	0.01	0
v63	snv	-0.75412	0	0.01	0
v64	snv	-0.75412	0	0.01	0
v65	snv	-0.75412	0	0.0115	0
v66	insertion_mei	0.85556	0	0.01	0
v67	snv	-0.75412	0	0.01	0
v68	snv	-0.75412	0	0.01	0
v69	small_indel	-0.07921	0	0.13439	0
v70	inversion_bnd_complex	0.52649	0	0.01425	0
v71	snv	-0.75412	0	0.01	0
v72	snv	-0.75412	1	0.01	0
v73	snv	-0.75412	0	0.01	0
v74	inversion_bnd_complex	0.96954	0	0.01	0
v75	snv	-0.75412	1	0.01	0
v76	snv	-0.75412	0	0.01	0
v77	other_complex_sv	1.05671	0	0.01	0
v78	snv	-0.75412	0	0.06014	0
v79	snv	-0.75412	0	0.02725	0
v80	snv	-0.75412	1	0.108	0
v81	inversion_bnd_complex	1.57564	1	0.03652	0
v82	snv	-0.75412	0	0.01	0
v83	snv	-0.75412	0	0.10427	0
v84	snv	-0.75412	0	0.01	0
v85	duplication_long	1.74405	0	0.01	1
v86	snv	-0.75412	0	0.01	0
v87	inversion_bnd_complex	2.09586	0	0.01	0
v88	str_vntr_repeat	1.02071	1	0.01	0
v89	snv	-0.75412	0	0.02391	0
v90	inversion_bnd_complex	0.7451	0	0.0765	0
v91	small_indel	-0.20941	0	0.10222	0
v92	duplication_long	1.50071	0	0.01	1
v93	str_vntr_repeat	1.24663	1	0.01	0
v94	insertion_mei	0.98985	0	0.01	0
v95	insertion_mei	2.12314	0	0.01	0
v96	inversion_bnd_complex	1.58615	0	0.01	0
v97	insertion_mei	0.24452	0	0.01919	0
v98	duplication_short	1.22995	0	0.01	1
v99	snv	-0.75412	0	0.01	0
v100	snv	-0.75412	0	0.08739	0
v101	snv	-0.75412	0	0.04918	0
v102	snv	-0.75412	0	0.12407	0
v103	snv	-0.75412	0	0.01154	0
v104	inversion_bnd_complex	1.70516	0	0.01	0
v105	snv	-0.75412	0	0.0181	0
v106	small_indel	0.03451	0	0.01	0
v107	duplication_short	1.4795	0	0.01	1
v108	snv	-0.75412	0	0.01	0
v109	small_indel	-0.04648	0	0.03378	0
v110	snv	-0.75412	0	0.01	0
v111	snv	-0.75412	0	0.01	0
v112	snv	-0.75412	0	0.01	0
v113	snv	-0.75412	0	0.01	0
v114	duplication_long	0.52573	0	0.19662	1
v115	snv	-0.75412	1	0.01	0
v116	snv	-0.75412	0	0.01	0
v117	deletion_long	0.84646	0	0.01	1
v118	insertion_mei	0.22756	0	0.01	0
v119	snv	-0.75412	0	0.10025	0
v120	snv	-0.75412	1	0.01	0
v121	duplication_short	1.48405	0	0.01	1
v122	deletion_long	2.08773	0	0.01	1
v123	snv	-0.75412	1	0.02972	0
v124	snv	-0.75412	0	0.01834	0
v125	deletion_short	1.90811	0	0.01043	1
v126	snv	-0.75412	0	0.01	0
v127	snv	-0.75412	0	0.01	0
v128	deletion_long	0.94062	1	0.01	1
v129	snv	-0.75412	0	0.01	0
v130	deletion_long	0.67302	0	0.01	1
v131	deletion_long	1.41122	0	0.01	1
v132	snv	-0.75412	0	0.01	0
v133	inversion_bnd_complex	0.86826	0	0.01	0
v134	snv	-0.75412	0	0.06979	0
v135	snv	-0.75412	0	0.01	0
v136	snv	-0.75412	0	0.1898	0
v137	snv	-0.75412	0	0.07721	0
v138	snv	-0.75412	0	0.01	0
v139	snv	-0.75412	0	0.01	0
v140	deletion_long	0.41087	0	0.02663	1
v141	snv	-0.75412	0	0.18095	0
v142	snv	-0.75412	0	0.15302	0
v143	duplication_short	0.73172	0	0.01	1
v144	snv	-0.75412	0	0.0274	0
v145	snv	-0.75412	0	0.01	0
v146	insertion_mei	0.25427	0	0.01	0
v147	snv	-0.75412	0	0.01	0
v148	snv	-0.75412	0	0.01	0
v149	snv	-0.75412	0	0.03548	0
v150	snv	-0.75412	0	0.01	0
v151	snv	-0.75412	0	0.12809	0
v152	snv	-0.75412	0	0.01	0
v153	other_complex_sv	1.37373	0	0.01	0
v154	snv	-0.75412	0	0.01	0
v155	duplication_short	2.16406	0	0.01	1
v156	str_vntr_repeat	2.06613	1	0.01112	0
v157	snv	-0.75412	0	0.05397	0
v158	snv	-0.75412	0	0.07388	0
v159	str_vntr_repeat	1.54811	1	0.06765	0
v160	snv	-0.75412	0	0.01	0
v161	deletion_short	1.20039	1	0.01	1
v162	snv	-0.75412	0	0.01052	0
v163	snv	-0.75412	0	0.01	0
v164	snv	-0.75412	0	0.01	0
v165	snv	-0.75412	1	0.01968	0
v166	snv	-0.75412	0	0.14395	0
v167	snv	-0.75412	0	0.16225	0
v168	snv	-0.75412	0	0.01	0
v169	other_complex_sv	2.03236	0	0.01	0
v170	snv	-0.75412	0	0.16942	0
v171	snv	-0.75412	0	0.01	0
v172	inversion_bnd_complex	0.57711	0	0.01	0
v173	duplication_short	0.88337	0	0.01	1
v174	snv	-0.75412	0	0.01515	0
v175	deletion_long	0.64086	0	0.0221	1
v176	snv	-0.75412	0	0.07724	0
v177	snv	-0.75412	0	0.01	0
v178	small_indel	-0.26513	0	0.09382	0
v179	str_vntr_repeat	1.94255	1	0.01	0
v180	snv	-0.75412	0	0.01	0
v181	snv	-0.75412	0	0.01276	0
v182	snv	-0.75412	0	0.11697	0
v183	duplication_short	0.23467	0	0.01	1
v184	insertion_mei	1.93534	0	0.01	0
v185	duplication_long	1.80505	0	0.01	1
v186	str_vntr_repeat	0.77728	1	0.01	0
v187	other_complex_sv	1.0228	0	0.01645	0
v188	snv	-0.75412	0	0.02154	0
v189	snv	-0.75412	0	0.01	0
v190	snv	-0.75412	1	0.01	0
v191	snv	-0.75412	0	0.02109	0
v192	deletion_short	1.54454	0	0.08816	1
v193	snv	-0.75412	0	0.01	0
v194	duplication_short	1.39427	0	0.01	1
v195	other_complex_sv	1.77396	0	0.01	0
v196	small_indel	-0.34088	0	0.01	0
v197	snv	-0.75412	0	0.04205	0
v198	snv	-0.75412	0	0.01	0
v199	snv	-0.75412	0	0.01577	0
v200	other_complex_sv	1.51882	0	0.01406	0
v201	snv	-0.75412	0	0.01	0
v202	deletion_short	1.53964	0	0.01	1
v203	duplication_long	1.54189	1	0.01	1
v204	deletion_long	0.33303	0	0.01	1
v205	snv	-0.75412	0	0.01516	0
v206	snv	-0.75412	0	0.01839	0
v207	snv	-0.75412	0	0.15266	0
v208	other_complex_sv	0.64187	0	0.01	0
v209	inversion_bnd_complex	1.88655	0	0.01	0
v210	snv	-0.75412	0	0.10355	0
v211	snv	-0.75412	0	0.01	0
v212	snv	-0.75412	0	0.01133	0
v213	snv	-0.75412	0	0.01	0
v214	snv	-0.75412	0	0.01	0
v215	duplication_long	0.71757	0	0.01	1
v216	snv	-0.75412	0	0.02891	0
v217	inversion_bnd_complex	1.84477	0	0.01501	0
v218	deletion_short	1.75315	0	0.01	1
v219	snv	-0.75412	0	0.01	0
v220	snv	-0.75412	0	0.01	0
v221	snv	-0.75412	0	0.08467	0
v222	insertion_mei	0.50684	0	0.01	0
v223	snv	-0.75412	0	0.20809	0
v224	deletion_long	0.27997	0	0.01591	1
v225	deletion_long	0.78606	0	0.01	1
v226	snv	-0.75412	0	0.01557	0
v227	duplication_short	0.73874	0	0.01	1
v228	duplication_short	0.68287	0	0.01	1
v229	snv	-0.75412	0	0.12453	0
v230	snv	-0.75412	0	0.01	0
v231	str_vntr_repeat	0.45178	1	0.02282	0
v232	other_complex_sv	1.04433	0	0.01	0
v233	snv	-0.75412	0	0.01	0
v234	deletion_long	0.49695	0	0.1082	1
v235	snv	-0.75412	0	0.06196	0
v236	deletion_long	1.19243	0	0.02887	1
v237	snv	-0.75412	0	0.0478	0
v238	snv	-0.75412	0	0.01	0
v239	deletion_short	1.82796	0	0.01	1
v240	snv	-0.75412	0	0.01	0
v241	snv	-0.75412	0	0.02409	0
v242	snv	-0.75412	0	0.0287	0
v243	snv	-0.75412	0	0.01	0
v244	snv	-0.75412	0	0.01	0
v245	deletion_long	1.11826	0	0.01	1
