variant_id	variant_class	sv_log_length	repeat_overlap	allele_frequency	is_copy_number
v0	deletion_long	0.57554	0	0.01	1
v1	snv	-0.81122	0	0.01	0
v2	str_vntr_repeat	0.44363	1	0.01	0
v3	snv	-0.81122	0	0.01	0
v4	snv	-0.81122	0	0.01	0
v5	duplication_long	1.40214	0	0.01	1
v6	snv	-0.81122	0	0.17749	0
v7	duplication_short	0.63854	0	0.01	1
v8	snv	-0.81122	0	0.01	0
v9	snv	-0.81122	0	0.03076	0
v10	snv	-0.81122	0	0.01	0
v11	snv	-0.81122	0	0.03502	0
v12	snv	-0.81122	0	0.08046	0
v13	duplication_short	2.04771	1	0.05231	1
v14	inversion_bnd_complex	2.13957	0	0.01	0
v15	snv	-0.81122	0	0.01	0
v16	snv	-0.81122	0	0.03168	0
v17	snv	-0.81122	0	0.02787	0
v18	snv	-0.81122	0	0.01	0
v19	other_complex_sv	1.03966	0	0.01	0
v20	snv	-0.81122	1	0.02452	0
v21	snv	-0.81122	0	0.09688	0
v22	snv	-0.81122	1	0.06018	0
v23	insertion_mei	0.30302	0	0.01	0
v24	deletion_long	0.72169	0	0.01	1
v25	insertion_mei	0.85594	0	0.01	0
v26	snv	-0.81122	0	0.10917	0
v27	snv	-0.81122	0	0.02894	0
v28	snv	-0.81122	0	0.11022	0
v29	deletion_short	2.15277	1	0.01043	1
v30	snv	-0.81122	0	0.08131	0
v31	snv	-0.81122	0	0.02013	0
v32	snv	-0.81122	0	0.01	0
v33	duplication_short	1.57889	0	0.01161	1
v34	duplication_short	1.18042	0	0.01	1
v35	duplication_long	0.46396	0	0.01	1
v36	other_complex_sv	1.59098	0	0.01	0
v37	insertion_mei	1.59343	0	0.01	0
v38	deletion_long	1.98207	0	0.01	1
v39	insertion_mei	1.60055	0	0.01	0
v40	snv	-0.81122	0	0.06453	0
v41	snv	-0.81122	1	0.01	0
v42	snv	-0.81122	0	0.01348	0
v43	inversion_bnd_complex	1.45895	0	0.04081	0
v44	small_indel	0.03174	1	0.02919	0
v45	snv	-0.81122	0	0.01	0
v46	duplication_long	1.06287	1	0.01	1
v47	snv	-0.81122	0	0.01	0
v48	deletion_short	1.47735	0	0.01986	1
v49	duplication_short	1.46993	0	0.01	1
v50	snv	-0.81122	1	0.01	0
v51	insertion_mei	0.49038	1	0.01729	0
v52	duplication_short	1.45042	0	0.01612	1
v53	snv	-0.81122	1	0.01	0
v54	deletion_short	1.49789	0	0.01	1
v55	deletion_long	1.151	0	0.01	1
v56	snv	-0.81122	0	0.16669	0
v57	str_vntr_repeat	1.65869	1	0.01341	0
v58	snv	-0.81122	0	0.01	0
v59	snv	-0.81122	0	0.01	0
v60	snv	-0.81122	0	0.01	0
v61	deletion_short	0.59078	0	0.10521	1
v62	str_vntr_repeat	1.38225	1	0.01	0
v63	small_indel	-0.57326	0	0.01	0
v64	snv	-0.81122	0	0.01	0
v65	snv	-0.81122	0	0.01	0
v66	snv	-0.81122	0	0.01154	0
v67	snv	-0.81122	0	0.03369	0
v68	snv	-0.81122	0	0.01	0
v69	snv	-0.81122	0	0.01	0
v70	duplication_long	1.82213	0	0.04745	1
v71	snv	-0.81122	0	0.01	0
v72	str_vntr_repeat	1.16927	1	0.01	0
v73	snv	-0.81122	0	0.01	0
v74	snv	-0.81122	0	0.01	0
v75	snv	-0.81122	0	0.01	0
v76	deletion_short	1.25263	0	0.0174	1
v77	deletion_short	0.84704	0	0.01	1
v78	snv	-0.81122	0	0.01585	0
v79	snv	-0.81122	0	0.0679	0
v80	duplication_short	1.18312	0	0.01	1
v81	deletion_short	0.76472	0	0.01	1
v82	snv	-0.81122	1	0.01401	0
v83	other_complex_sv	0.86614	0	0.01	0
v84	deletion_long	0.56254	0	0.01664	1
v85	snv	-0.81122	0	0.05944	0
v86	str_vntr_repeat	1.4838	1	0.01	0
v87	duplication_long	1.29405	0	0.01	1
v88	snv	-0.81122	0	0.01408	0
v89	inversion_bnd_complex	1.96124	0	0.01	0
v90	snv	-0.81122	0	0.01318	0
v91	insertion_mei	1.10398	0	0.01	0
v92	duplication_short	0.22021	0	0.01	1
v93	snv	-0.81122	0	0.16695	0
v94	snv	-0.81122	0	0.02978	0
v95	str_vntr_repeat	1.22968	1	0.01	0
v96	small_indel	-0.29184	1	0.06726	0
v97	snv	-0.81122	0	0.01	0
v98	snv	-0.81122	0	0.01	0
v99	inversion_bnd_complex	0.7241	0	0.01	0
v100	snv	-0.81122	0	0.01	0
v101	str_vntr_repeat	0.71104	1	0.01	0
v102	snv	-0.81122	0	0.01	0
v103	duplication_short	0.93037	0	0.01	1
v104	snv	-0.81122	0	0.01	0
v105	small_indel	-0.10552	0	0.02981	0
v106	other_complex_sv	0.54259	0	0.01	0
v107	snv	-0.81122	0	0.01	0
v108	snv	-0.81122	0	0.20698	0
v109	small_indel	-0.09734	0	0.01	0
v110	snv	-0.81122	0	0.01226	0
v111	deletion_short	0.96843	0	0.17711	1
v112	snv	-0.81122	0	0.02633	0
v113	snv	-0.81122	0	0.01	0
v114	inversion_bnd_complex	0.96795	0	0.01972	0
v115	insertion_mei	1.82374	0	0.01	0
v116	deletion_short	0.87794	0	0.01	1
v117	snv	-0.81122	0	0.01	0
v118	snv	-0.81122	0	0.06026	0
v119	str_vntr_repeat	1.90019	1	0.01	0
v120	deletion_long	1.21101	1	0.01	1
v121	snv	-0.81122	0	0.01	0
v122	snv	-0.81122	0	0.01	0
v123	duplication_short	0.66885	0	0.04414	1
v124	snv	-0.81122	0	0.01	0
v125	duplication_long	1.04015	0	0.0398	1
v126	snv	-0.81122	0	0.01	0
v127	snv	-0.81122	0	0.10974	0
v128	snv	-0.81122	0	0.20526	0
v129	snv	-0.81122	0	0.01035	0
v130	snv	-0.81122	0	0.05222	0
v131	inversion_bnd_complex	0.46788	0	0.01	0
v132	duplication_short	1.36371	0	0.01	1
v133	inversion_bnd_complex	1.88794	0	0.01	0
v134	snv	-0.81122	0	0.01	0
v135	snv	-0.81122	1	0.01929	0
v136	snv	-0.81122	0	0.05337	0
v137	snv	-0.81122	0	0.01077	0
v138	deletion_long	0.85476	0	0.01	1
v139	str_vntr_repeat	1.70369	1	0.01	0
v140	inversion_bnd_complex	1.30389	0	0.01	0
v141	snv	-0.81122	0	0.01132	0
v142	inversion_bnd_complex	0.50947	0	0.01	0
v143	snv	-0.81122	0	0.01007	0
v144	snv	-0.81122	0	0.01	0
v145	snv	-0.81122	0	0.01	0
v146	insertion_mei	1.79028	0	0.01	0
v147	other_complex_sv	1.41267	0	0.01	0
v148	snv	-0.81122	0	0.3111	0
v149	snv	-0.81122	0	0.1167	0
v150	str_vntr_repeat	1.14404	1	0.01	0
v151	deletion_short	0.50034	0	0.01	1
v152	snv	-0.81122	0	0.0233	0
v153	snv	-0.81122	0	0.01	0
v154	insertion_mei	2.11773	0	0.01	0
v155	snv	-0.81122	0	0.01	0
v156	snv	-0.81122	0	0.01203	0
v157	deletion_long	2.05458	0	0.01	1
v158	small_indel	-0.21068	0	0.01	0
v159	snv	-0.81122	0	0.11568	0
v160	snv	-0.81122	0	0.01	0
v161	snv	-0.81122	0	0.04331	0
v162	inversion_bnd_complex	1.23092	0	0.01	0
v163	duplication_long	1.96683	0	0.02103	1
v164	snv	-0.81122	0	0.01007	0
v165	snv	-0.81122	0	0.11943	0
v166	duplication_long	1.60994	0	0.01	1
v167	deletion_short	1.66224	0	0.01	1
v168	other_complex_sv	0.70571	1	0.01	0
v169	snv	-0.81122	1	0.01	0
v170	snv	-0.81122	0	0.06136	0
v171	snv	-0.81122	0	0.01	0
v172	small_indel	-0.31248	1	0.01384	0
v173	snv	-0.81122	0	0.01	0
v174	duplication_long	0.44946	0	0.01	1
v175	snv	-0.81122	0	0.01	0
v176	snv	-0.81122	0	0.04421	0
v177	snv	-0.81122	1	0.01111	0
v178	snv	-0.81122	0	0.01	0
v179	other_complex_sv	0.34527	0	0.01	0
v180	snv	-0.81122	0	0.05961	0
v181	small_indel	-0.0291	0	0.0981	0
v182	snv	-0.81122	0	0.01	0
v183	snv	-0.81122	0	0.01	0
v184	snv	-0.81122	0	0.01	0
v185	snv	-0.81122	0	0.01	0
v186	snv	-0.81122	0	0.01	0
v187	snv	-0.81122	0	0.01	0
v188	small_indel	-0.36081	0	0.01	0
v189	snv	-0.81122	0	0.01	0
v190	deletion_long	1.69966	0	0.01	1
v191	inversion_bnd_complex	1.47296	0	0.01	0
v192	deletion_short	1.088	0	0.01179	1
v193	duplication_short	1.98373	1	0.01	1
v194	str_vntr_repeat	0.74181	1	0.01	0
v195	snv	-0.81122	0	0.01	0
v196	small_indel	-0.09734	0	0.01506	0
v197	small_indel	-0.03503	0	0.01	0
v198	snv	-0.81122	0	0.01	0
v199	snv	-0.81122	0	0.01	0
v200	snv	-0.81122	0	0.01	0
v201	snv	-0.81122	0	0.02306	0
v202	snv	-0.81122	1	0.24425	0
v203	snv	-0.81122	0	0.01	0
v204	snv	-0.81122	0	0.01	0
v205	deletion_short	0.54298	0	0.01	1
v206	duplication_short	1.93058	0	0.01	1
v207	snv	-0.81122	0	0.13732	0
v208	duplication_long	0.29179	0	0.01631	1
v209	snv	-0.81122	0	0.03159	0
v210	small_indel	0.00843	0	0.06208	0
v211	small_indel	-0.36081	0	0.01	0
v212	str_vntr_repeat	1.9827	1	0.01	0
v213	snv	-0.81122	0	0.01	0
v214	inversion_bnd_complex	0.78861	0	0.01036	0
v215	snv	-0.81122	0	0.03262	0
v216	snv	-0.81122	0	0.0159	0
v217	snv	-0.81122	0	0.01	0
v218	snv	-0.81122	1	0.01	0
v219	snv	-0.81122	0	0.01	0
v220	inversion_bnd_complex	1.63715	0	0.01	0
v221	str_vntr_repeat	0.85959	1	0.01	0
v222	snv	-0.81122	0	0.02084	0
v223	snv	-0.81122	0	0.20207	0
v224	snv	-0.81122	0	0.23645	0
v225	duplication_short	0.61959	0	0.01	1
v226	snv	-0.81122	0	0.01	0
v227	deletion_short	0.48754	0	0.01	1
v228	duplication_long	0.8767	0	0.01	1
v229	snv	-0.81122	0	0.0361	0
v230	str_vntr_repeat	1.59851	1	0.01	0
v231	deletion_long	0.72998	0	0.01	1
v232	snv	-0.81122	0	0.01	0
v233	snv	-0.81122	0	0.01	0
v234	snv	-0.81122	0	0.01	0
v235	inversion_bnd_complex	0.2738	0	0.01	0
v236	other_complex_sv	1.02258	0	0.01651	0
v237	snv	-0.81122	0	0.01	0
v238	snv	-0.81122	0	0.01	0
v239	str_vntr_repeat	0.77722	1	0.01	0
v240	snv	-0.81122	0	0.10122	0
v241	other_complex_sv	1.20725	0	0.01	0
v242	snv	-0.81122	0	0.01	0
v243	snv	-0.81122	0	0.01386	0
v244	duplication_long	1.48753	0	0.08307	1
v245	snv	-0.81122	0	0.06272	0
v246	snv	-0.81122	0	0.01	0
v247	snv	-0.81122	0	0.02	0
v248	snv	-0.81122	0	0.01	0
v249	snv	-0.81122	0	0.01	0
v250	inversion_bnd_complex	1.66847	0	0.01	0
v251	deletion_short	0.72838	0	0.01	1
v252	small_indel	-0.0177	0	0.07987	0
v253	deletion_long	0.58963	0	0.01	1
v254	deletion_long	2.11748	0	0.0462	1
v255	duplication_short	0.53245	0	0.01	1
v256	small_indel	-0.01221	0	0.02243	0
v257	snv	-0.81122	0	0.01	0
v258	small_indel	-0.29184	0	0.01	0
v259	duplication_short	1.97439	0	0.01	1
v260	small_indel	-0.04113	0	0.01537	0
v261	small_indel	-0.09734	0	0.01771	0
v262	snv	-0.81122	0	0.08108	0
v263	small_indel	-0.19755	0	0.01308	0
v264	snv	-0.81122	0	0.01	0
v265	snv	-0.81122	0	0.01	0
v266	duplication_long	0.24243	0	0.01	1
v267	snv	-0.81122	0	0.06527	0
v268	snv	-0.81122	0	0.01	0
v269	snv	-0.81122	1	0.14585	0
v270	str_vntr_repeat	0.53179	1	0.01872	0
v271	snv	-0.81122	0	0.08689	0
v272	duplication_short	1.50947	0	0.01	1
v273	snv	-0.81122	0	0.02043	0
v274	small_indel	-0.08187	0	0.06529	0
v275	snv	-0.81122	0	0.01	0
v276	other_complex_sv	1.70929	0	0.01	0
v277	small_indel	-0.0177	0	0.01	0
v278	snv	-0.81122	0	0.01	0
v279	snv	-0.81122	0	0.01	0
v280	snv	-0.81122	0	0.01	0
v281	snv	-0.81122	0	0.01	0
v282	duplication_short	0.34454	0	0.01	1
v283	deletion_short	0.68274	0	0.02523	1
v284	snv	-0.81122	1	0.01	0
v285	snv	-0.81122	0	0.04269	0
v286	snv	-0.81122	0	0.01	0
v287	str_vntr_repeat	1.11747	1	0.01	0
v288	snv	-0.81122	0	0.01	0
v289	snv	-0.81122	1	0.01922	0
v290	deletion_long	0.46839	0	0.01	1
v291	snv	-0.81122	0	0.01	0
v292	snv	-0.81122	0	0.08613	0
v293	deletion_short	1.51954	1	0.03663	1
v294	duplication_short	2.14831	0	0.01	1
