variant_id	variant_class	sv_log_length	repeat_overlap	allele_frequency	is_copy_number
v0	insertion_mei	1.30288	0	0.01	0
v1	deletion_short	1.62487	0	0.02079	1
v2	duplication_short	0.88648	0	0.01	1
v3	other_complex_sv	1.75859	0	0.01	0
v4	snv	-0.79247	0	0.01	0
v5	str_vntr_repeat	1.88043	1	0.01	0
v6	snv	-0.79247	0	0.01	0
v7	duplication_short	1.96363	0	0.01	1
v8	duplication_long	1.19725	1	0.01	1
v9	deletion_long	0.342	1	0.04879	1
v10	duplication_long	1.58447	0	0.01	1
v11	deletion_long	1.7087	0	0.01	1
v12	small_indel	-0.09467	0	0.01	0
v13	insertion_mei	1.64735	0	0.02393	0
v14	duplication_short	1.28014	0	0.01	1
v15	duplication_long	0.84042	0	0.01	1
v16	duplication_short	0.7287	0	0.03695	1
v17	duplication_short	1.82792	0	0.02803	1
v18	snv	-0.79247	0	0.01279	0
v19	snv	-0.79247	0	0.01	0
v20	snv	-0.79247	0	0.01964	0
v21	snv	-0.79247	0	0.01935	0
v22	snv	-0.79247	0	0.01	0
v23	duplication_long	0.85824	0	0.01	1
v24	duplication_long	1.59364	0	0.01153	1
v25	snv	-0.79247	0	0.01	0
v26	snv	-0.79247	0	0.01	0
v27	inversion_bnd_complex	0.94453	0	0.01	0
v28	snv	-0.79247	0	0.01925	0
v29	insertion_mei	0.19618	0	0.01	0
v30	snv	-0.79247	0	0.09147	0
v31	str_vntr_repeat	1.39277	1	0.01	0
v32	inversion_bnd_complex	1.52967	0	0.01	0
v33	snv	-0.79247	0	0.0932	0
v34	snv	-0.79247	0	0.01	0
v35	snv	-0.79247	0	0.10321	0
v36	inversion_bnd_complex	0.38281	0	0.01	0
v37	snv	-0.79247	0	0.0107	0
v38	snv	-0.79247	0	0.01701	0
v39	snv	-0.79247	0	0.01	0
v40	snv	-0.79247	0	0.0346	0
v41	other_complex_sv	1.66564	0	0.01	0
v42	snv	-0.79247	0	0.01	0
v43	snv	-0.79247	0	0.01	0
v44	snv	-0.79247	0	0.01	0
v45	insertion_mei	1.62225	0	0.01	0
v46	inversion_bnd_complex	1.81079	0	0.13521	0
v47	snv	-0.79247	0	0.01388	0
v48	deletion_long	1.0955	0	0.01607	1
v49	snv	-0.79247	0	0.11867	0
v50	snv	-0.79247	0	0.17409	0
v51	duplication_short	1.80947	0	0.01619	1
v52	snv	-0.79247	0	0.02297	0
v53	str_vntr_repeat	2.02455	1	0.01	0
v54	small_indel	-0.03631	1	0.01157	0
v55	snv	-0.79247	0	0.01	0
v56	deletion_short	0.57642	0	0.01	1
v57	duplication_short	1.80512	1	0.01	1
v58	duplication_long	1.30032	0	0.01	1
v59	snv	-0.79247	0	0.02824	0
v60	deletion_long	1.53974	0	0.0901	1
v61	insertion_mei	1.49777	0	0.03815	0
v62	snv	-0.79247	0	0.01	0
v63	snv	-0.79247	0	0.25735	0
v64	snv	-0.79247	0	0.01	0
v65	snv	-0.79247	0	0.01	0
v66	duplication_long	1.11682	0	0.07101	1
v67	insertion_mei	1.10059	0	0.05555	0
v68	duplication_short	0.71184	0	0.01	1
v69	duplication_long	1.53175	0	0.01	1
v70	snv	-0.79247	0	0.01	0
v71	snv	-0.79247	0	0.02277	0
v72	duplication_short	1.51689	0	0.01	1
v73	other_complex_sv	1.90163	0	0.01	0
v74	str_vntr_repeat	0.4116	1	0.0126	0
v75	other_complex_sv	2.04188	0	0.01	0
v76	deletion_short	0.92378	0	0.01	1
v77	str_vntr_repeat	1.54869	1	0.01	0
v78	snv	-0.79247	0	0.03358	0
v79	small_indel	-0.12695	1	0.01	0
v80	snv	-0.79247	0	0.01	0
v81	snv	-0.79247	0	0.01111	0
v82	insertion_mei	1.16389	0	0.01	0
v83	snv	-0.79247	0	0.06996	0
v84	str_vntr_repeat	0.96956	1	0.02267	0
v85	duplication_long	1.13741	0	0.01	1
v86	snv	-0.79247	0	0.16706	0
v87	insertion_mei	0.29867	0	0.01	0
v88	snv	-0.79247	0	0.05787	0
v89	snv	-0.79247	0	0.01	0
v90	duplication_long	1.76085	0	0.01	1
v91	str_vntr_repeat	1.33534	1	0.01	0
v92	small_indel	-0.25534	1	0.07405	0
v93	snv	-0.79247	0	0.01	0
v94	snv	-0.79247	0	0.19964	0
v95	snv	-0.79247	0	0.01449	0
v96	snv	-0.79247	0	0.04865	0
v97	insertion_mei	1.76077	0	0.01	0
v98	snv	-0.79247	0	0.01	0
v99	snv	-0.79247	0	0.08819	0
v100	duplication_long	1.70933	0	0.01	1
v101	snv	-0.79247	0	0.01	0
v102	snv	-0.79247	0	0.01	0
v103	snv	-0.79247	0	0.01	0
v104	snv	-0.79247	0	0.07802	0
v105	snv	-0.79247	0	0.01	0
v106	snv	-0.79247	0	0.01	0
v107	duplication_short	0.6197	0	0.01747	1
v108	snv	-0.79247	0	0.01	0
v109	snv	-0.79247	1	0.01027	0
v110	snv	-0.79247	0	0.01	0
v111	duplication_long	1.47705	0	0.01	1
v112	deletion_long	0.82041	0	0.01	1
v113	snv	-0.79247	0	0.01	0
v114	snv	-0.79247	0	0.01	0
v115	duplication_short	1.8773	0	0.01978	1
