variant_id	variant_class	sv_log_length	repeat_overlap	allele_frequency	is_copy_number
v0	snv	-0.5404	0	0.01204	0
v1	snv	-0.5404	0	0.02534	0
v2	snv	-0.5404	0	0.01	0
v3	snv	-0.5404	0	0.05392	0
v4	snv	-0.5404	0	0.01666	0
v5	snv	-0.5404	0	0.02443	0
v6	snv	-0.5404	0	0.13669	0
v7	snv	-0.5404	0	0.01	0
v8	snv	-0.5404	0	0.01	0
v9	snv	-0.5404	0	0.02893	0
v10	snv	-0.5404	0	0.01	0
v11	small_indel	0.01313	0	0.07064	0
v12	snv	-0.5404	0	0.01	0
v13	snv	-0.5404	0	0.01	0
v14	snv	-0.5404	0	0.01	0
v15	snv	-0.5404	0	0.01	0
v16	snv	-0.5404	0	0.06366	0
v17	snv	-0.5404	0	0.01	0
v18	snv	-0.5404	0	0.01	0
v19	small_indel	0.0979	0	0.01	0
v20	snv	-0.5404	0	0.01	0
v21	snv	-0.5404	1	0.02257	0
v22	str_vntr_repeat	2.38486	1	0.01594	0
v23	insertion_mei	2.67836	0	0.01241	0
v24	snv	-0.5404	0	0.08047	0
v25	snv	-0.5404	0	0.01	0
v26	snv	-0.5404	0	0.01	0
v27	snv	-0.5404	0	0.01	0
v28	inversion_bnd_complex	2.86368	0	0.01	0
v29	snv	-0.5404	0	0.01	0
v30	snv	-0.5404	0	0.01	0
v31	snv	-0.5404	0	0.01	0
v32	snv	-0.5404	0	0.04476	0
v33	snv	-0.5404	0	0.01	0
v34	snv	-0.5404	0	0.04093	0
v35	inversion_bnd_complex	1.51202	0	0.01	0
v36	snv	-0.5404	0	0.01	0
v37	snv	-0.5404	0	0.01	0
v38	snv	-0.5404	1	0.09483	0
v39	small_indel	0.4279	0	0.05648	0
v40	snv	-0.5404	0	0.06859	0
v41	snv	-0.5404	0	0.01	0
v42	snv	-0.5404	0	0.065	0
v43	small_indel	0.46081	0	0.01	0
v44	snv	-0.5404	0	0.01	0
v45	snv	-0.5404	0	0.01	0
v46	snv	-0.5404	0	0.01	0
v47	snv	-0.5404	0	0.0764	0
v48	snv	-0.5404	0	0.0313	0
v49	snv	-0.5404	1	0.01	0
v50	snv	-0.5404	0	0.20386	0
v51	other_complex_sv	2.92919	0	0.01	0
v52	snv	-0.5404	0	0.01	0
v53	small_indel	0.38216	0	0.02442	0
v54	snv	-0.5404	0	0.02574	0
v55	deletion_long	1.3209	0	0.01062	1
v56	snv	-0.5404	0	0.01	0
v57	snv	-0.5404	0	0.08265	0
v58	snv	-0.5404	0	0.01058	0
v59	snv	-0.5404	0	0.03165	0
v60	small_indel	0.47876	0	0.01	0
v61	deletion_long	2.66493	0	0.01	1
v62	snv	-0.5404	0	0.01617	0
v63	snv	-0.5404	0	0.01954	0
v64	small_indel	0.39035	0	0.01	0
v65	snv	-0.5404	0	0.01	0
v66	snv	-0.5404	0	0.2445	0
v67	snv	-0.5404	0	0.01	0
v68	deletion_long	2.8668	0	0.01	1
v69	duplication_short	0.7924	0	0.01	1
v70	str_vntr_repeat	2.91264	1	0.01	0
v71	snv	-0.5404	0	0.01	0
v72	snv	-0.5404	0	0.04268	0
v73	snv	-0.5404	0	0.06219	0
v74	snv	-0.5404	0	0.09672	0
v75	other_complex_sv	1.27421	0	0.01	0
v76	snv	-0.5404	0	0.03094	0
v77	small_indel	0.45455	0	0.04379	0
v78	inversion_bnd_complex	1.48857	0	0.05255	0
v79	insertion_mei	1.94492	0	0.01	0
v80	str_vntr_repeat	1.47759	1	0.01	0
v81	snv	-0.5404	0	0.12151	0
v82	snv	-0.5404	0	0.01	0
v83	small_indel	0.35595	0	0.01	0
v84	deletion_long	1.35965	0	0.01	1
v85	snv	-0.5404	0	0.02201	0
v86	snv	-0.5404	0	0.01	0
v87	snv	-0.5404	0	0.01	0
v88	deletion_long	2.25914	1	0.01	1
v89	snv	-0.5404	0	0.10294	0
v90	small_indel	0.12107	0	0.13261	0
v91	snv	-0.5404	0	0.23584	0
v92	snv	-0.5404	0	0.01	0
v93	snv	-0.5404	0	0.01	0
v94	snv	-0.5404	1	0.01	0
v95	insertion_mei	1.35835	0	0.01	0
v96	snv	-0.5404	0	0.06084	0
v97	snv	-0.5404	0	0.10178	0
v98	snv	-0.5404	0	0.13037	0
v99	snv	-0.5404	0	0.22017	0
v100	snv	-0.5404	0	0.01	0
v101	snv	-0.5404	0	0.0201	0
v102	small_indel	0.229	0	0.01	0
v103	snv	-0.5404	0	0.01287	0
v104	snv	-0.5404	0	0.01	0
v105	snv	-0.5404	0	0.02553	0
v106	snv	-0.5404	0	0.05765	0
v107	snv	-0.5404	1	0.19905	0
v108	deletion_long	2.18302	0	0.01	1
v109	snv	-0.5404	0	0.01	0
v110	snv	-0.5404	0	0.01	0
v111	deletion_long	2.64888	0	0.01	1
v112	snv	-0.5404	0	0.03454	0
v113	snv	-0.5404	0	0.0254	0
v114	snv	-0.5404	0	0.01101	0
v115	snv	-0.5404	0	0.04376	0
v116	snv	-0.5404	0	0.01	0
v117	snv	-0.5404	1	0.03434	0
v118	snv	-0.5404	0	0.05307	0
v119	snv	-0.5404	0	0.03243	0
v120	snv	-0.5404	0	0.0154	0
v121	other_complex_sv	0.74007	0	0.01	0
v122	snv	-0.5404	0	0.01	0
v123	snv	-0.5404	0	0.09767	0
v124	snv	-0.5404	0	0.03234	0
v125	snv	-0.5404	0	0.01	0
v126	deletion_long	1.68625	0	0.01	1
v127	insertion_mei	1.43852	0	0.07273	0
v128	snv	-0.5404	0	0.01	0
v129	snv	-0.5404	0	0.18708	0
v130	other_complex_sv	2.60505	0	0.01	0
v131	snv	-0.5404	0	0.01	0
v132	snv	-0.5404	0	0.01	0
v133	snv	-0.5404	1	0.01	0
v134	snv	-0.5404	0	0.0194	0
v135	deletion_long	1.32837	0	0.01	1
v136	snv	-0.5404	0	0.01	0
v137	inversion_bnd_complex	2.69389	0	0.01	0
v138	snv	-0.5404	0	0.01	0
v139	other_complex_sv	2.20129	0	0.01	0
v140	snv	-0.5404	0	0.02317	0
v141	small_indel	-0.35589	0	0.01	0
v142	snv	-0.5404	0	0.01	0
v143	snv	-0.5404	0	0.0439	0
v144	snv	-0.5404	0	0.0856	0
v145	snv	-0.5404	0	0.01	0
v146	insertion_mei	1.70418	0	0.01	0
v147	str_vntr_repeat	1.98687	1	0.02716	0
v148	snv	-0.5404	0	0.06675	0
v149	snv	-0.5404	0	0.01	0
v150	snv	-0.5404	0	0.01	0
