variant_id	variant_class	sv_log_length	repeat_overlap	allele_frequency	is_copy_number	annotation_1	annotation_2	annotation_3
v0	duplication_short	1.24086	0	0.0433	1	-0.61553	0.57244	1.52183
v1	duplication_short	1.92443	0	0.01	1	-0.6807	0.01218	0.57268
v2	snv	-0.83601	0	0.01	0	0.7222	0.31282	-0.20462
v3	duplication_long	1.15947	0	0.01	1	1.20021	0.53642	1.75133
v4	insertion_mei	1.59397	0	0.01	0	-1.90692	0.10279	-2.0787
v5	duplication_long	0.99318	0	0.01528	1	-1.55022	-1.54172	-0.7525
v6	duplication_short	1.26413	0	0.07487	1	2.22187	0.84582	0.5829
v7	duplication_long	1.61926	1	0.02435	1	-0.45905	0.19263	0.50718
v8	small_indel	-0.24761	0	0.08108	0	0.90219	1.78887	0.095
v9	other_complex_sv	0.70283	0	0.01	0	0.58242	0.45269	0.82625
v10	snv	-0.83601	0	0.04927	0	-1.41909	0.52614	1.85737
v11	small_indel	-0.08056	0	0.01	0	0.92355	-1.09231	0.79739
v12	snv	-0.83601	0	0.05449	0	0.39045	-0.76722	0.10963
v13	snv	-0.83601	0	0.01821	0	1.554	-0.27438	0.1651
v14	snv	-0.83601	1	0.06569	0	0.39971	-0.25121	0.40416
v15	duplication_short	1.59512	0	0.01	1	-1.27376	-0.15786	1.25243
v16	other_complex_sv	1.74093	0	0.01	0	-1.21678	-2.02249	-0.66425
v17	snv	-0.83601	0	0.05942	0	1.90477	0.60855	0.1552
v18	deletion_short	1.03151	0	0.01	1	-0.53289	-0.34141	0.80967
v19	small_indel	-0.15153	0	0.07998	0	-0.40816	-0.37991	-0.61773
v20	small_indel	-0.03204	0	0.01	0	-0.07971	-1.65137	-0.28409
v21	snv	-0.83601	0	0.01	0	0.21814	-0.28547	2.62278
v22	snv	-0.83601	0	0.04662	0	-0.05438	0.95298	0.66014
v23	snv	-0.83601	0	0.01	0	-0.06872	0.52895	-1.03415
v24	snv	-0.83601	0	0.0375	0	0.07148	0.97837	0.25213
v25	other_complex_sv	0.70027	0	0.01	0	-0.17902	2.16599	1.21869
v26	snv	-0.83601	0	0.20369	0	-0.12171	2.28363	0.47209
v27	snv	-0.83601	0	0.01489	0	-0.39763	-0.44266	1.6337
v28	snv	-0.83601	0	0.01	0	1.78618	0.3949	1.61853
