variant_id	variant_class	sv_log_length	repeat_overlap	allele_frequency	is_copy_number
v0	str_vntr_repeat	1.59828	1	0.01	0
v1	duplication_long	0.89892	1	0.12143	1
v2	snv	-0.80884	0	0.01	0
v3	deletion_long	0.81453	0	0.03775	1
v4	snv	-0.80884	0	0.04587	0
v5	inversion_bnd_complex	1.13926	0	0.06026	0
v6	small_indel	-0.29812	0	0.01	0
v7	duplication_short	1.17902	0	0.01	1
v8	deletion_short	1.86475	0	0.01	1
v9	snv	-0.80884	0	0.01	0
v10	snv	-0.80884	1	0.01	0
v11	inversion_bnd_complex	0.67514	0	0.01	0
v12	str_vntr_repeat	0.33641	1	0.01	0
v13	duplication_long	1.51338	0	0.01	1
v14	snv	-0.80884	1	0.01	0
v15	other_complex_sv	1.1479	0	0.05712	0
v16	snv	-0.80884	0	0.01	0
v17	snv	-0.80884	0	0.1073	0
v18	snv	-0.80884	1	0.14602	0
v19	snv	-0.80884	1	0.01	0
v20	str_vntr_repeat	0.72193	1	0.01	0
v21	other_complex_sv	1.13591	0	0.0218	0
v22	snv	-0.80884	0	0.04471	0
v23	insertion_mei	0.7186	0	0.01	0
v24	snv	-0.80884	0	0.01	0
v25	str_vntr_repeat	0.73602	1	0.01	0
v26	snv	-0.80884	0	0.01	0
v27	snv	-0.80884	0	0.01	0
v28	duplication_short	2.05843	1	0.01	1
v29	other_complex_sv	0.82311	1	0.01	0
v30	snv	-0.80884	0	0.01	0
v31	insertion_mei	1.81975	0	0.01	0
v32	snv	-0.80884	0	0.01	0
v33	small_indel	-0.01276	0	0.01	0
v34	deletion_short	1.44586	0	0.01	1
v35	snv	-0.80884	0	0.01	0
v36	snv	-0.80884	0	0.01	0
v37	snv	-0.80884	0	0.01	0
v38	snv	-0.80884	0	0.01	0
v39	inversion_bnd_complex	1.5376	0	0.01	0
v40	deletion_short	1.87254	0	0.01	1
v41	snv	-0.80884	0	0.03733	0
v42	inversion_bnd_complex	1.97266	1	0.01	0
v43	snv	-0.80884	0	0.01	0
v44	insertion_mei	1.08986	0	0.01	0
v45	deletion_short	0.70896	0	0.01	1
v46	duplication_long	0.65126	0	0.01	1
v47	duplication_short	0.80358	0	0.01	1
v48	inversion_bnd_complex	0.19754	0	0.01	0
v49	duplication_long	1.75546	0	0.01	1
v50	snv	-0.80884	0	0.04836	0
v51	deletion_short	0.91485	0	0.01	1
v52	snv	-0.80884	0	0.01	0
v53	snv	-0.80884	0	0.01	0
v54	str_vntr_repeat	1.391	1	0.01	0
v55	str_vntr_repeat	2.06848	1	0.01	0
v56	str_vntr_repeat	1.52625	1	0.01	0
v57	snv	-0.80884	0	0.26789	0
v58	snv	-0.80884	0	0.01	0
v59	small_indel	-0.13195	0	0.01	0
v60	deletion_short	1.17169	0	0.01	1
v61	deletion_long	1.18573	0	0.01	1
v62	small_indel	-0.36594	0	0.10361	0
v63	snv	-0.80884	1	0.07281	0
v64	snv	-0.80884	0	0.20311	0
v65	snv	-0.80884	1	0.01	0
v66	snv	-0.80884	0	0.01415	0
v67	snv	-0.80884	0	0.07747	0
v68	snv	-0.80884	0	0.10015	0
v69	snv	-0.80884	0	0.01	0
v70	snv	-0.80884	0	0.02695	0
v71	inversion_bnd_complex	0.59549	0	0.01	0
v72	snv	-0.80884	0	0.01	0
v73	snv	-0.80884	0	0.01	0
v74	other_complex_sv	1.99009	0	0.01	0
v75	snv	-0.80884	0	0.01652	0
v76	deletion_long	0.37195	0	0.01	1
v77	duplication_long	1.56219	0	0.01	1
v78	deletion_short	1.76626	0	0.01	1
v79	snv	-0.80884	0	0.01605	0
v80	deletion_short	1.15879	0	0.07297	1
v81	snv	-0.80884	0	0.01	0
v82	snv	-0.80884	1	0.04051	0
v83	duplication_long	1.33068	0	0.01	1
v84	duplication_short	1.61984	0	0.01081	1
v85	snv	-0.80884	0	0.01	0
v86	snv	-0.80884	0	0.0483	0
v87	snv	-0.80884	0	0.01	0
v88	deletion_short	0.92994	0	0.01	1
v89	snv	-0.80884	0	0.10711	0
v90	str_vntr_repeat	1.20001	1	0.01	0
v91	inversion_bnd_complex	1.60396	0	0.01	0
v92	snv	-0.80884	0	0.01	0
v93	snv	-0.80884	0	0.1761	0
v94	snv	-0.80884	0	0.07642	0
v95	deletion_short	2.05402	0	0.01	1
v96	snv	-0.80884	0	0.01	0
v97	snv	-0.80884	0	0.05116	0
v98	snv	-0.80884	0	0.01882	0
v99	duplication_long	0.22309	1	0.01	1
v100	other_complex_sv	1.24016	0	0.01072	0
v101	duplication_long	1.54928	0	0.01	1
v102	duplication_long	0.433	0	0.01284	1
v103	deletion_short	1.6361	0	0.01258	1
v104	snv	-0.80884	0	0.01	0
v105	snv	-0.80884	0	0.01929	0
v106	other_complex_sv	0.54589	0	0.01571	0
v107	snv	-0.80884	0	0.01123	0
v108	snv	-0.80884	0	0.03537	0
v109	snv	-0.80884	0	0.01	0
v110	deletion_short	2.11938	0	0.01	1
v111	snv	-0.80884	0	0.01	0
v112	snv	-0.80884	0	0.08445	0
v113	snv	-0.80884	0	0.08354	0
v114	deletion_long	1.29249	0	0.01	1
v115	snv	-0.80884	0	0.19147	0
v116	snv	-0.80884	0	0.01	0
v117	snv	-0.80884	0	0.01	0
v118	str_vntr_repeat	0.84317	1	0.01	0
v119	snv	-0.80884	0	0.2845	0
v120	snv	-0.80884	0	0.01	0
v121	duplication_long	0.50511	0	0.04949	1
v122	snv	-0.80884	0	0.04405	0
v123	other_complex_sv	1.71331	1	0.01003	0
v124	small_indel	-0.03976	0	0.03188	0
v125	str_vntr_repeat	1.09039	1	0.01246	0
v126	snv	-0.80884	0	0.02526	0
v127	snv	-0.80884	0	0.01	0
v128	snv	-0.80884	0	0.08637	0
