variant_id	variant_class	sv_log_length	repeat_overlap	allele_frequency	is_copy_number	annotation_1	annotation_2	annotation_3
v0	deletion_short	0.21519	0	0.01	1	0.65293	0.43266	-0.28872
v1	snv	-0.79182	0	0.01	0	-1.17391	-1.15521	-1.31787
v2	other_complex_sv	1.35127	0	0.01	0	0.24437	0.39515	0.17825
v3	other_complex_sv	0.60793	0	0.01	0	-0.69911	-0.2095	0.5469
v4	deletion_short	0.53213	0	0.01	1	0.24426	-2.09884	-0.13416
v5	inversion_bnd_complex	2.10598	0	0.01	0	1.35797	0.76791	0.16069
v6	deletion_long	1.38533	0	0.03589	1	-1.33226	0.28209	-0.93765
v7	inversion_bnd_complex	0.33497	0	0.01	0	0.00197	-1.13357	1.28566
v8	deletion_long	0.95994	0	0.01	1	-1.0674	-0.03976	-0.69122
v9	insertion_mei	1.87221	0	0.01	0	-0.5752	-0.80645	1.93561
v10	snv	-0.79182	1	0.01	0	0.7083	-1.72998	-0.71621
v11	snv	-0.79182	0	0.01	0	0.366	-0.96301	-1.34864
v12	snv	-0.79182	1	0.01645	0	-0.17993	1.07708	1.86168
v13	snv	-0.79182	0	0.01	0	0.576	-0.00853	1.82515
v14	snv	-0.79182	0	0.02123	0	1.09178	-0.07226	-1.5692
v15	snv	-0.79182	0	0.01	0	0.00391	0.17547	-0.79014
v16	snv	-0.79182	0	0.01575	0	-1.44361	1.38378	-0.11641
v17	snv	-0.79182	0	0.04504	0	-0.14215	-1.98764	0.46636
v18	duplication_long	0.85703	0	0.02308	1	-0.44399	0.0932	0.51875
v19	duplication_short	1.18467	0	0.01	1	-0.43647	-0.03057	0.44766
v20	snv	-0.79182	0	0.01	0	0.11038	-1.47386	-0.57276
v21	snv	-0.79182	0	0.01	0	-0.06174	-0.12152	-0.13592
v22	snv	-0.79182	0	0.1616	0	-0.7595	-1.08327	-0.07222
v23	duplication_long	1.62851	0	0.01	1	-0.02628	0.90369	-0.71947
v24	snv	-0.79182	0	0.01	0	0.30361	-1.11371	0.46888
v25	snv	-0.79182	0	0.01	0	1.09636	0.82706	-0.61064
v26	other_complex_sv	1.47285	0	0.09066	0	0.78029	-0.56604	-0.97452
v27	snv	-0.79182	0	0.14393	0	0.67465	1.21008	-0.52869
v28	duplication_short	1.9669	0	0.01	1	0.01809	-0.17438	-1.09543
v29	deletion_long	1.04564	0	0.02105	1	0.9574	-0.50186	-0.83156
v30	snv	-0.79182	0	0.0518	0	0.68896	-0.46006	-0.08543
v31	snv	-0.79182	0	0.08832	0	1.85718	0.81882	2.08394
v32	duplication_short	1.6859	0	0.01689	1	0.32229	0.32437	0.30159
v33	snv	-0.79182	0	0.09399	0	1.26511	-0.82364	-0.16117
v34	snv	-0.79182	0	0.04117	0	0.58453	0.84047	-0.62362
v35	inversion_bnd_complex	2.11484	0	0.01	0	1.01226	-0.03351	1.53027
v36	small_indel	-0.01186	0	0.01	0	-0.02506	-1.625	1.21311
v37	snv	-0.79182	0	0.01	0	-0.97408	0.97009	1.10947
v38	duplication_short	0.23231	0	0.01	1	0.03907	-1.33856	0.32985
v39	snv	-0.79182	0	0.04173	0	-0.29414	0.58009	0.6772
v40	snv	-0.79182	0	0.03975	0	-0.36198	-0.31058	0.59678
v41	snv	-0.79182	0	0.15169	0	-0.50869	1.35799	-0.88081
v42	small_indel	-0.2056	0	0.01	0	-0.46639	0.65857	2.20599
v43	inversion_bnd_complex	1.78878	0	0.01	0	0.66432	-0.3058	-1.59311
v44	duplication_short	1.31466	0	0.01	1	-0.10358	-1.27232	-0.19404
v45	duplication_short	0.87431	0	0.01	1	0.4383	0.82819	0.20312
v46	insertion_mei	0.81754	0	0.03627	0	-1.06312	0.50415	-0.87061
v47	snv	-0.79182	0	0.01	0	-0.79585	-2.04905	-1.03715
v48	duplication_long	0.7298	0	0.02476	1	0.79131	0.39601	1.07358
v49	snv	-0.79182	0	0.09582	0	-0.53576	1.27778	-1.42966
v50	small_indel	-0.2495	0	0.06864	0	2.64282	-1.04909	0.57088
v51	str_vntr_repeat	1.11405	1	0.01	0	-0.05345	-0.5279	0.79893
v52	snv	-0.79182	0	0.01	0	1.28536	0.07865	-0.98946
v53	other_complex_sv	0.88703	0	0.01	0	-0.55111	0.8048	1.25269
v54	snv	-0.79182	0	0.03109	0	-2.38562	-0.25383	0.8845
v55	small_indel	0.01304	0	0.04219	0	0.57064	0.18949	0.80014
v56	deletion_short	0.98043	0	0.01038	1	1.06101	-0.70966	0.70437
v57	duplication_long	1.45015	0	0.01	1	-1.00762	0.06172	-2.10646
v58	snv	-0.79182	0	0.01	0	-0.34954	-0.31341	0.54232
v59	snv	-0.79182	0	0.01	0	0.17679	0.64535	0.85608
v60	deletion_short	1.53639	0	0.01	1	-2.09259	-0.62468	1.97538
v61	deletion_short	2.12575	0	0.01	1	-1.7439	-0.70425	-0.04356
