variant_id	variant_class	sv_log_length	repeat_overlap	allele_frequency	is_copy_number
v0	deletion_short	0.79433	0	0.0202	1
v1	snv	-0.69535	1	0.25769	0
v2	snv	-0.69535	0	0.0315	0
v3	snv	-0.69535	0	0.01	0
v4	deletion_long	2.30491	0	0.01	1
v5	duplication_short	1.59213	0	0.01	1
v6	duplication_long	0.71065	1	0.01	1
v7	insertion_mei	0.95517	0	0.01	0
v8	insertion_mei	0.59638	0	0.01	0
v9	snv	-0.69535	0	0.02334	0
v10	snv	-0.69535	1	0.09401	0
v11	deletion_long	1.01056	0	0.04764	1
v12	snv	-0.69535	0	0.02069	0
v13	small_indel	-0.18386	0	0.01545	0
v14	snv	-0.69535	0	0.01276	0
v15	inversion_bnd_complex	1.89777	0	0.01	0
v16	small_indel	0.08852	0	0.04592	0
v17	snv	-0.69535	0	0.02525	0
v18	snv	-0.69535	0	0.04794	0
v19	snv	-0.69535	0	0.01	0
v20	snv	-0.69535	0	0.01	0
v21	small_indel	-0.24236	0	0.12393	0
v22	snv	-0.69535	0	0.07406	0
v23	snv	-0.69535	0	0.01	0
v24	small_indel	-0.18386	0	0.01	0
v25	snv	-0.69535	0	0.01203	0
v26	deletion_short	2.23205	0	0.01	1
v27	snv	-0.69535	0	0.01	0
v28	duplication_long	1.87484	1	0.01	1
v29	duplication_short	2.14991	0	0.01	1
v30	deletion_long	0.72544	0	0.01	1
v31	snv	-0.69535	0	0.01286	0
v32	snv	-0.69535	0	0.03545	0
v33	snv	-0.69535	0	0.10395	0
v34	str_vntr_repeat	1.73905	1	0.01	0
v35	insertion_mei	0.383	1	0.0239	0
v36	snv	-0.69535	0	0.11676	0
v37	deletion_long	2.46741	0	0.01	1
v38	snv	-0.69535	0	0.02165	0
v39	snv	-0.69535	0	0.0352	0
v40	snv	-0.69535	0	0.12603	0
v41	other_complex_sv	2.15767	0	0.01	0
v42	small_indel	0.14523	0	0.01	0
v43	snv	-0.69535	0	0.01	0
v44	insertion_mei	1.96088	0	0.01	0
v45	duplication_long	2.47021	0	0.01	1
v46	small_indel	-0.04992	0	0.10345	0
v47	snv	-0.69535	0	0.01	0
v48	duplication_long	0.67818	0	0.01	1
v49	snv	-0.69535	0	0.02317	0
v50	snv	-0.69535	0	0.12714	0
v51	snv	-0.69535	0	0.01	0
v52	snv	-0.69535	1	0.01	0
v53	snv	-0.69535	0	0.01395	0
v54	snv	-0.69535	0	0.01	0
v55	snv	-0.69535	0	0.01	0
v56	snv	-0.69535	0	0.01	0
v57	snv	-0.69535	0	0.01	0
v58	snv	-0.69535	0	0.02516	0
v59	snv	-0.69535	0	0.41127	0
v60	duplication_long	1.06031	0	0.01	1
v61	small_indel	0.09641	0	0.01	0
v62	duplication_short	0.49468	0	0.01	1
v63	duplication_short	0.99626	0	0.01448	1
v64	snv	-0.69535	0	0.20041	0
v65	snv	-0.69535	0	0.01416	0
v66	inversion_bnd_complex	0.60083	0	0.15937	0
v67	snv	-0.69535	0	0.01	0
v68	small_indel	0.21062	0	0.01755	0
v69	deletion_long	1.02627	0	0.01	1
v70	snv	-0.69535	0	0.01	0
v71	snv	-0.69535	0	0.01725	0
v72	snv	-0.69535	0	0.01	0
v73	snv	-0.69535	0	0.05661	0
v74	snv	-0.69535	0	0.01	0
v75	small_indel	0.04447	0	0.01	0
v76	snv	-0.69535	0	0.0387	0
v77	deletion_short	2.30492	0	0.04329	1
v78	insertion_mei	1.61347	0	0.01	0
v79	deletion_short	1.01898	0	0.01	1
v80	snv	-0.69535	0	0.01	0
v81	snv	-0.69535	0	0.0144	0
v82	snv	-0.69535	1	0.04139	0
v83	snv	-0.69535	0	0.01465	0
v84	snv	-0.69535	0	0.01	0
v85	duplication_long	1.06339	0	0.01	1
v86	snv	-0.69535	0	0.05007	0
v87	snv	-0.69535	0	0.01	0
v88	snv	-0.69535	0	0.01	0
v89	snv	-0.69535	0	0.01	0
v90	snv	-0.69535	0	0.04424	0
v91	insertion_mei	0.75882	0	0.01	0
v92	snv	-0.69535	1	0.02702	0
v93	snv	-0.69535	0	0.5	0
v94	snv	-0.69535	0	0.04371	0
v95	small_indel	-0.00992	0	0.01	0
v96	snv	-0.69535	0	0.12179	0
v97	snv	-0.69535	0	0.07188	0
v98	snv	-0.69535	1	0.01	0
v99	snv	-0.69535	0	0.02225	0
v100	snv	-0.69535	0	0.28094	0
v101	inversion_bnd_complex	2.33715	0	0.01927	0
v102	snv	-0.69535	0	0.01419	0
v103	duplication_long	1.30428	0	0.02285	1
v104	snv	-0.69535	0	0.13527	0
v105	snv	-0.69535	0	0.16049	0
v106	snv	-0.69535	0	0.01	0
v107	snv	-0.69535	1	0.01	0
v108	snv	-0.69535	0	0.01	0
v109	snv	-0.69535	0	0.41888	0
v110	snv	-0.69535	0	0.01	0
v111	snv	-0.69535	0	0.0621	0
v112	snv	-0.69535	1	0.01	0
v113	duplication_long	1.27387	0	0.03565	1
v114	snv	-0.69535	0	0.01	0
v115	snv	-0.69535	0	0.01	0
v116	inversion_bnd_complex	2.0013	0	0.01	0
v117	snv	-0.69535	0	0.01	0
v118	duplication_long	1.56328	0	0.02811	1
v119	snv	-0.69535	0	0.01	0
v120	snv	-0.69535	0	0.07481	0
v121	snv	-0.69535	0	0.4308	0
v122	snv	-0.69535	0	0.01	0
v123	snv	-0.69535	0	0.2022	0
v124	small_indel	0.15749	0	0.01427	0
v125	other_complex_sv	2.42853	0	0.01	0
v126	deletion_long	2.23605	0	0.03547	1
v127	snv	-0.69535	0	0.01	0
v128	deletion_long	1.71891	0	0.01	1
v129	deletion_long	0.76951	0	0.01	1
v130	snv	-0.69535	0	0.01	0
v131	snv	-0.69535	1	0.05276	0
v132	snv	-0.69535	1	0.01302	0
v133	snv	-0.69535	0	0.1887	0
v134	duplication_short	2.05875	0	0.01	1
v135	insertion_mei	2.30674	0	0.02125	0
v136	snv	-0.69535	0	0.01606	0
v137	inversion_bnd_complex	0.79015	0	0.01	0
v138	snv	-0.69535	0	0.02838	0
v139	snv	-0.69535	0	0.012	0
v140	snv	-0.69535	1	0.01	0
v141	snv	-0.69535	0	0.05848	0
v142	insertion_mei	1.88484	0	0.01	0
v143	snv	-0.69535	0	0.01	0
v144	snv	-0.69535	0	0.01161	0
v145	snv	-0.69535	0	0.01	0
v146	snv	-0.69535	1	0.01	0
v147	insertion_mei	2.06324	0	0.01	0
v148	snv	-0.69535	0	0.0141	0
v149	small_indel	0.1908	0	0.01	0
v150	deletion_short	0.56598	0	0.01	1
v151	deletion_long	1.05665	0	0.01	1
v152	deletion_short	0.87868	0	0.02937	1
v153	snv	-0.69535	0	0.01	0
v154	snv	-0.69535	0	0.23298	0
v155	snv	-0.69535	0	0.01	0
v156	snv	-0.69535	0	0.01	0
v157	duplication_long	0.78695	0	0.01	1
v158	duplication_short	1.82107	0	0.01	1
v159	small_indel	0.04447	1	0.098	0
v160	snv	-0.69535	0	0.01	0
v161	small_indel	0.11144	0	0.03549	0
v162	snv	-0.69535	0	0.07692	0
v163	deletion_long	2.33501	0	0.01	1
v164	snv	-0.69535	0	0.01	0
v165	other_complex_sv	1.87395	0	0.01	0
v166	snv	-0.69535	0	0.03483	0
v167	small_indel	0.20092	0	0.01	0
v168	duplication_long	1.23149	0	0.01	1
v169	deletion_long	1.66303	0	0.05196	1
v170	duplication_long	2.10755	0	0.01	1
v171	duplication_short	1.52933	0	0.01	1
v172	snv	-0.69535	0	0.01	0
v173	deletion_short	2.22458	0	0.06155	1
v174	snv	-0.69535	1	0.08569	0
v175	snv	-0.69535	0	0.19309	0
v176	str_vntr_repeat	0.62983	1	0.05082	0
v177	duplication_long	1.36455	0	0.05456	1
v178	snv	-0.69535	0	0.01	0
v179	duplication_long	1.8875	0	0.01	1
v180	insertion_mei	2.37577	0	0.06271	0
v181	snv	-0.69535	0	0.01	0
v182	insertion_mei	0.48781	0	0.01	0
v183	snv	-0.69535	0	0.01	0
v184	deletion_long	0.44382	0	0.034	1
v185	snv	-0.69535	0	0.01	0
v186	snv	-0.69535	0	0.03498	0
v187	str_vntr_repeat	1.57665	1	0.01	0
v188	snv	-0.69535	1	0.05351	0
v189	insertion_mei	2.39288	0	0.01	0
v190	snv	-0.69535	0	0.01	0
v191	snv	-0.69535	0	0.01	0
v192	insertion_mei	1.11037	1	0.01	0
v193	snv	-0.69535	0	0.10855	0
v194	snv	-0.69535	0	0.01	0
v195	deletion_long	2.00847	0	0.01	1
v196	snv	-0.69535	0	0.02301	0
v197	small_indel	-0.32069	0	0.01	0
v198	snv	-0.69535	1	0.02259	0
v199	duplication_short	0.85826	0	0.01	1
